
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: FixedAlphaSchedule
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-01 | Loss: 2.9414e-02 | BC: 2.2443e-02 | PDE: 6.9709e-02 | Val: 1.0504e-03 | Test: 2.3376e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-01 | Loss: 1.9830e-03 | BC: 7.3373e-04 | PDE: 1.2492e-02 | Val: 8.9931e-04 | Test: 1.8144e-03 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-01 | Loss: 1.3383e-03 | BC: 5.1532e-04 | PDE: 8.2302e-03 | Val: 3.6695e-04 | Test: 1.5242e-03 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e-01 | Loss: 1.1050e-03 | BC: 4.3581e-04 | PDE: 6.6919e-03 | Val: 3.6712e-04 | Test: 1.5338e-03 | LR=1.0e-03
Epoch   5/100 | Steps:   5000 | α=1e-01 | Loss: 9.1922e-04 | BC: 3.8195e-04 | PDE: 5.3727e-03 | Val: 4.1592e-04 | Test: 1.4826e-03 | LR=1.0e-03
Epoch   6/100 | Steps:   6000 | α=1e-01 | Loss: 7.5118e-04 | BC: 3.1204e-04 | PDE: 4.3914e-03 | Val: 2.4873e-04 | Test: 1.2488e-03 | LR=9.9e-04 *
Epoch   7/100 | Steps:   7000 | α=1e-01 | Loss: 6.3792e-04 | BC: 2.7505e-04 | PDE: 3.6287e-03 | Val: 1.3779e-04 | Test: 1.2070e-03 | LR=9.9e-04 *
Epoch   8/100 | Steps:   8000 | α=1e-01 | Loss: 5.2767e-04 | BC: 2.3653e-04 | PDE: 2.9113e-03 | Val: 2.3806e-04 | Test: 1.2549e-03 | LR=9.9e-04
Epoch   9/100 | Steps:   9000 | α=1e-01 | Loss: 5.0537e-04 | BC: 2.1994e-04 | PDE: 2.8543e-03 | Val: 1.6055e-04 | Test: 1.2411e-03 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=1e-01 | Loss: 4.4517e-04 | BC: 2.0141e-04 | PDE: 2.4377e-03 | Val: 1.5643e-04 | Test: 1.1411e-03 | LR=9.8e-04
Epoch  11/100 | Steps:  11000 | α=1e-01 | Loss: 1.3051e-03 | BC: 5.6395e-04 | PDE: 7.4113e-03 | Val: 3.7766e-04 | Test: 1.7029e-03 | LR=9.8e-04
Epoch  12/100 | Steps:  12000 | α=1e-01 | Loss: 2.8782e-04 | BC: 1.1699e-04 | PDE: 1.7082e-03 | Val: 9.3100e-05 | Test: 1.1255e-03 | LR=9.7e-04 *
Epoch  13/100 | Steps:  13000 | α=1e-01 | Loss: 2.1472e-04 | BC: 1.0246e-04 | PDE: 1.1226e-03 | Val: 9.9423e-05 | Test: 1.0515e-03 | LR=9.7e-04
Epoch  14/100 | Steps:  14000 | α=1e-01 | Loss: 7.1867e-04 | BC: 3.0539e-04 | PDE: 4.1328e-03 | Val: 7.6593e-05 | Test: 1.0601e-03 | LR=9.6e-04 *
Epoch  15/100 | Steps:  15000 | α=1e-01 | Loss: 2.4110e-04 | BC: 1.0460e-04 | PDE: 1.3651e-03 | Val: 5.8663e-05 | Test: 1.0496e-03 | LR=9.5e-04 *
Epoch  16/100 | Steps:  16000 | α=1e-01 | Loss: 2.2544e-04 | BC: 1.0352e-04 | PDE: 1.2192e-03 | Val: 2.0044e-04 | Test: 1.0872e-03 | LR=9.5e-04
Epoch  17/100 | Steps:  17000 | α=1e-01 | Loss: 2.4106e-04 | BC: 1.0562e-04 | PDE: 1.3545e-03 | Val: 6.0305e-05 | Test: 1.0130e-03 | LR=9.4e-04
Epoch  18/100 | Steps:  18000 | α=1e-01 | Loss: 2.2503e-04 | BC: 9.7271e-05 | PDE: 1.2776e-03 | Val: 2.2273e-04 | Test: 1.1626e-03 | LR=9.3e-04
Epoch  19/100 | Steps:  19000 | α=1e-01 | Loss: 2.3475e-04 | BC: 9.9801e-05 | PDE: 1.3494e-03 | Val: 5.7295e-05 | Test: 9.6505e-04 | LR=9.2e-04 *
Epoch  20/100 | Steps:  20000 | α=1e-01 | Loss: 9.4824e-04 | BC: 3.3655e-04 | PDE: 6.1170e-03 | Val: 4.4946e-05 | Test: 9.7218e-04 | LR=9.1e-04 *
