
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [32, 32, 32, 32]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 3,297

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 2.2263e-02 | BC: 2.2227e-02 | PDE: 3.6701e+00 | Val: 7.5477e-04 | Test: 8.0542e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 6.1909e-04 | BC: 5.8047e-04 | PDE: 3.8611e+00 | Val: 3.6247e-04 | Test: 9.7306e-03 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 2.6027e-04 | BC: 2.1410e-04 | PDE: 4.6171e+00 | Val: 1.1866e-04 | Test: 8.6330e-03 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 1.1704e-04 | BC: 7.2416e-05 | PDE: 4.4628e+00 | Val: 5.3388e-05 | Test: 5.8767e-03 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 8.0111e-05 | BC: 5.1132e-05 | PDE: 2.8979e+00 | Val: 3.5380e-05 | Test: 3.8870e-03 | LR=1.0e-03 *
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 5.7797e-05 | BC: 3.8582e-05 | PDE: 1.9215e+00 | Val: 3.1067e-05 | Test: 2.6217e-03 | LR=9.9e-04 *
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 4.7110e-05 | BC: 3.3213e-05 | PDE: 1.3897e+00 | Val: 4.9147e-05 | Test: 1.7955e-03 | LR=9.9e-04
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 4.3122e-05 | BC: 3.2331e-05 | PDE: 1.0791e+00 | Val: 1.6619e-05 | Test: 1.4119e-03 | LR=9.9e-04 *
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 3.8172e-05 | BC: 2.9331e-05 | PDE: 8.8407e-01 | Val: 1.7604e-05 | Test: 1.2152e-03 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 3.6262e-05 | BC: 2.8574e-05 | PDE: 7.6881e-01 | Val: 1.3377e-05 | Test: 1.1658e-03 | LR=9.8e-04 *
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 2.9455e-05 | BC: 2.2724e-05 | PDE: 6.7315e-01 | Val: 1.8705e-05 | Test: 1.1049e-03 | LR=9.8e-04
Epoch  12/100 | Steps:  12000 | α=1e-05 | Loss: 3.1170e-05 | BC: 2.5189e-05 | PDE: 5.9812e-01 | Val: 1.2968e-05 | Test: 9.1238e-04 | LR=9.7e-04 *
Epoch  13/100 | Steps:  13000 | α=1e-05 | Loss: 2.4978e-05 | BC: 1.9693e-05 | PDE: 5.2845e-01 | Val: 5.5205e-05 | Test: 7.9699e-04 | LR=9.7e-04
Epoch  14/100 | Steps:  14000 | α=1e-05 | Loss: 2.5791e-05 | BC: 2.1072e-05 | PDE: 4.7190e-01 | Val: 1.8614e-05 | Test: 7.2794e-04 | LR=9.6e-04
Epoch  15/100 | Steps:  15000 | α=1e-05 | Loss: 2.2471e-05 | BC: 1.8218e-05 | PDE: 4.2526e-01 | Val: 1.5174e-05 | Test: 6.7991e-04 | LR=9.5e-04
Epoch  16/100 | Steps:  16000 | α=1e-05 | Loss: 2.1329e-05 | BC: 1.7512e-05 | PDE: 3.8168e-01 | Val: 7.1284e-06 | Test: 5.8968e-04 | LR=9.5e-04 *
Epoch  17/100 | Steps:  17000 | α=1e-05 | Loss: 1.9068e-05 | BC: 1.5568e-05 | PDE: 3.5001e-01 | Val: 1.6446e-05 | Test: 5.3033e-04 | LR=9.4e-04
Epoch  18/100 | Steps:  18000 | α=1e-05 | Loss: 1.7779e-05 | BC: 1.4523e-05 | PDE: 3.2559e-01 | Val: 9.4235e-06 | Test: 5.5525e-04 | LR=9.3e-04
Epoch  19/100 | Steps:  19000 | α=1e-05 | Loss: 1.8329e-05 | BC: 1.5321e-05 | PDE: 3.0075e-01 | Val: 1.2670e-05 | Test: 5.2146e-04 | LR=9.2e-04
Epoch  20/100 | Steps:  20000 | α=1e-05 | Loss: 1.6438e-05 | BC: 1.3656e-05 | PDE: 2.7825e-01 | Val: 4.3752e-06 | Test: 5.6429e-04 | LR=9.1e-04 *
Epoch  21/100 | Steps:  21000 | α=1e-05 | Loss: 1.4502e-05 | BC: 1.1925e-05 | PDE: 2.5775e-01 | Val: 9.7104e-06 | Test: 5.7884e-04 | LR=9.1e-04
Epoch  22/100 | Steps:  22000 | α=1e-05 | Loss: 1.5547e-05 | BC: 1.3121e-05 | PDE: 2.4268e-01 | Val: 2.3772e-06 | Test: 5.7343e-04 | LR=9.0e-04 *
Epoch  23/100 | Steps:  23000 | α=1e-05 | Loss: 1.2046e-05 | BC: 9.7986e-06 | PDE: 2.2476e-01 | Val: 5.1538e-05 | Test: 5.8497e-04 | LR=8.9e-04
Epoch  24/100 | Steps:  24000 | α=1e-05 | Loss: 1.3089e-05 | BC: 1.0936e-05 | PDE: 2.1526e-01 | Val: 3.0027e-06 | Test: 5.9066e-04 | LR=8.8e-04
Epoch  25/100 | Steps:  25000 | α=1e-05 | Loss: 1.2715e-05 | BC: 1.0712e-05 | PDE: 2.0031e-01 | Val: 2.3732e-06 | Test: 5.7148e-04 | LR=8.7e-04 *
Epoch  26/100 | Steps:  26000 | α=1e-05 | Loss: 1.0860e-05 | BC: 8.9324e-06 | PDE: 1.9275e-01 | Val: 8.5897e-06 | Test: 6.1677e-04 | LR=8.6e-04
Epoch  27/100 | Steps:  27000 | α=1e-05 | Loss: 1.2470e-05 | BC: 1.0628e-05 | PDE: 1.8424e-01 | Val: 2.7025e-05 | Test: 6.2426e-04 | LR=8.4e-04

>>> Alpha increased: 1e-05 → 1e-04 (BC=8.9901e-06) <<<
Epoch  28/100 | Steps:  28000 | α=1e-04 | Loss: 1.0791e-05 | BC: 8.9901e-06 | PDE: 1.8006e-01 | Val: 3.3304e-06 | Test: 5.9602e-04 | LR=8.3e-04 *
Epoch  29/100 | Steps:  29000 | α=1e-04 | Loss: 2.3225e-05 | BC: 1.1536e-05 | PDE: 1.1689e-01 | Val: 1.1227e-05 | Test: 6.6280e-04 | LR=8.2e-04
Epoch  30/100 | Steps:  30000 | α=1e-04 | Loss: 1.9840e-05 | BC: 1.0852e-05 | PDE: 8.9883e-02 | Val: 1.0225e-05 | Test: 6.3319e-04 | LR=8.1e-04
Epoch  31/100 | Steps:  31000 | α=1e-04 | Loss: 1.8294e-05 | BC: 1.0318e-05 | PDE: 7.9761e-02 | Val: 2.7100e-05 | Test: 6.5493e-04 | LR=8.0e-04
Epoch  32/100 | Steps:  32000 | α=1e-04 | Loss: 1.7131e-05 | BC: 9.9310e-06 | PDE: 7.2000e-02 | Val: 2.3322e-05 | Test: 6.5156e-04 | LR=7.8e-04
Epoch  33/100 | Steps:  33000 | α=1e-04 | Loss: 1.6868e-05 | BC: 1.0145e-05 | PDE: 6.7239e-02 | Val: 2.9965e-06 | Test: 6.3669e-04 | LR=7.7e-04 *
Epoch  34/100 | Steps:  34000 | α=1e-04 | Loss: 1.5896e-05 | BC: 9.5775e-06 | PDE: 6.3186e-02 | Val: 4.5295e-06 | Test: 6.5330e-04 | LR=7.6e-04
Epoch  35/100 | Steps:  35000 | α=1e-04 | Loss: 1.4819e-05 | BC: 8.7885e-06 | PDE: 6.0310e-02 | Val: 9.7253e-06 | Test: 6.3420e-04 | LR=7.4e-04

>>> Alpha increased: 1e-04 → 1e-03 (BC=8.2567e-06) <<<
Epoch  36/100 | Steps:  36000 | α=1e-03 | Loss: 1.3980e-05 | BC: 8.2567e-06 | PDE: 5.7236e-02 | Val: 6.1899e-06 | Test: 6.6112e-04 | LR=7.3e-04 *
Epoch  37/100 | Steps:  37000 | α=1e-03 | Loss: 5.1854e-05 | BC: 1.8630e-05 | PDE: 3.3225e-02 | Val: 1.4182e-05 | Test: 7.6409e-04 | LR=7.2e-04
Epoch  38/100 | Steps:  38000 | α=1e-03 | Loss: 4.1445e-05 | BC: 1.5548e-05 | PDE: 2.5897e-02 | Val: 1.7841e-05 | Test: 7.5757e-04 | LR=7.0e-04
Epoch  39/100 | Steps:  39000 | α=1e-03 | Loss: 3.7471e-05 | BC: 1.4847e-05 | PDE: 2.2625e-02 | Val: 2.3468e-05 | Test: 7.9153e-04 | LR=6.9e-04
Epoch  40/100 | Steps:  40000 | α=1e-03 | Loss: 3.4941e-05 | BC: 1.4477e-05 | PDE: 2.0465e-02 | Val: 1.8787e-05 | Test: 7.6024e-04 | LR=6.7e-04
Epoch  41/100 | Steps:  41000 | α=1e-03 | Loss: 3.2692e-05 | BC: 1.3723e-05 | PDE: 1.8969e-02 | Val: 9.8606e-06 | Test: 7.6582e-04 | LR=6.6e-04
