
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 17,025

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 4.3295e-02 | BC: 4.3282e-02 | PDE: 1.3057e+00 | Val: 1.0875e-03 | Test: 1.8116e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 6.6985e-04 | BC: 6.5924e-04 | PDE: 1.0613e+00 | Val: 5.2122e-04 | Test: 1.0813e-03 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 2.3536e-04 | BC: 2.2625e-04 | PDE: 9.1079e-01 | Val: 1.2266e-04 | Test: 9.7387e-04 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 1.0077e-04 | BC: 8.8521e-05 | PDE: 1.2247e+00 | Val: 7.5878e-05 | Test: 7.9449e-04 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 9.5575e-05 | BC: 8.1470e-05 | PDE: 1.4105e+00 | Val: 5.1647e-05 | Test: 5.6585e-04 | LR=1.0e-03 *
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 8.3272e-05 | BC: 6.8224e-05 | PDE: 1.5048e+00 | Val: 5.8921e-05 | Test: 5.8287e-04 | LR=9.9e-04
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 8.1273e-05 | BC: 6.5860e-05 | PDE: 1.5413e+00 | Val: 9.7765e-05 | Test: 5.8159e-04 | LR=9.9e-04
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 7.8506e-05 | BC: 6.3288e-05 | PDE: 1.5217e+00 | Val: 7.1467e-05 | Test: 5.9643e-04 | LR=9.9e-04
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 7.2526e-05 | BC: 5.7569e-05 | PDE: 1.4957e+00 | Val: 5.8845e-05 | Test: 6.2253e-04 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 6.4637e-05 | BC: 4.9940e-05 | PDE: 1.4697e+00 | Val: 7.3786e-05 | Test: 6.9672e-04 | LR=9.8e-04
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 6.5465e-05 | BC: 5.1209e-05 | PDE: 1.4256e+00 | Val: 3.4670e-05 | Test: 6.8375e-04 | LR=9.8e-04 *
Epoch  12/100 | Steps:  12000 | α=1e-05 | Loss: 5.9192e-05 | BC: 4.5183e-05 | PDE: 1.4009e+00 | Val: 7.3520e-05 | Test: 7.5502e-04 | LR=9.7e-04
Epoch  13/100 | Steps:  13000 | α=1e-05 | Loss: 5.8414e-05 | BC: 4.4725e-05 | PDE: 1.3689e+00 | Val: 4.5655e-05 | Test: 8.1489e-04 | LR=9.7e-04
Epoch  14/100 | Steps:  14000 | α=1e-05 | Loss: 5.3955e-05 | BC: 4.0491e-05 | PDE: 1.3464e+00 | Val: 3.4697e-05 | Test: 9.9999e-04 | LR=9.6e-04

>>> Alpha increased: 1e-05 → 1e-04 (BC=4.0220e-05) <<<
Epoch  15/100 | Steps:  15000 | α=1e-04 | Loss: 5.3358e-05 | BC: 4.0220e-05 | PDE: 1.3139e+00 | Val: 4.4364e-05 | Test: 1.0372e-03 | LR=9.5e-04 *
Epoch  16/100 | Steps:  16000 | α=1e-04 | Loss: 1.3209e-04 | BC: 5.9502e-05 | PDE: 7.2589e-01 | Val: 6.4024e-05 | Test: 6.4846e-04 | LR=9.5e-04
Epoch  17/100 | Steps:  17000 | α=1e-04 | Loss: 1.1478e-04 | BC: 5.5649e-05 | PDE: 5.9132e-01 | Val: 3.5233e-05 | Test: 6.4719e-04 | LR=9.4e-04 *
Epoch  18/100 | Steps:  18000 | α=1e-04 | Loss: 9.2891e-05 | BC: 4.7162e-05 | PDE: 4.5730e-01 | Val: 6.6664e-05 | Test: 5.1514e-04 | LR=9.3e-04
Epoch  19/100 | Steps:  19000 | α=1e-04 | Loss: 7.4428e-05 | BC: 4.2379e-05 | PDE: 3.2049e-01 | Val: 2.4091e-05 | Test: 5.9233e-04 | LR=9.2e-04 *
Epoch  20/100 | Steps:  20000 | α=1e-04 | Loss: 5.0063e-05 | BC: 2.7295e-05 | PDE: 2.2768e-01 | Val: 2.1626e-05 | Test: 4.6012e-04 | LR=9.1e-04 *
Epoch  21/100 | Steps:  21000 | α=1e-04 | Loss: 4.2249e-05 | BC: 2.3678e-05 | PDE: 1.8571e-01 | Val: 1.9186e-05 | Test: 4.6646e-04 | LR=9.1e-04 *
Epoch  22/100 | Steps:  22000 | α=1e-04 | Loss: 4.0577e-05 | BC: 2.2963e-05 | PDE: 1.7614e-01 | Val: 3.1383e-05 | Test: 5.0395e-04 | LR=9.0e-04
Epoch  23/100 | Steps:  23000 | α=1e-04 | Loss: 3.7322e-05 | BC: 2.0497e-05 | PDE: 1.6824e-01 | Val: 3.8420e-05 | Test: 5.4009e-04 | LR=8.9e-04
Epoch  24/100 | Steps:  24000 | α=1e-04 | Loss: 3.6793e-05 | BC: 2.0280e-05 | PDE: 1.6513e-01 | Val: 1.7567e-05 | Test: 4.7831e-04 | LR=8.8e-04 *
Epoch  25/100 | Steps:  25000 | α=1e-04 | Loss: 3.6117e-05 | BC: 2.0063e-05 | PDE: 1.6054e-01 | Val: 1.1689e-05 | Test: 4.8617e-04 | LR=8.7e-04 *
Epoch  26/100 | Steps:  26000 | α=1e-04 | Loss: 3.4507e-05 | BC: 1.8800e-05 | PDE: 1.5707e-01 | Val: 1.7973e-05 | Test: 4.5685e-04 | LR=8.6e-04
Epoch  27/100 | Steps:  27000 | α=1e-04 | Loss: 3.3731e-05 | BC: 1.8246e-05 | PDE: 1.5485e-01 | Val: 2.1285e-05 | Test: 5.3321e-04 | LR=8.4e-04

>>> Alpha increased: 1e-04 → 1e-03 (BC=1.9125e-05) <<<
Epoch  28/100 | Steps:  28000 | α=1e-03 | Loss: 3.4483e-05 | BC: 1.9125e-05 | PDE: 1.5357e-01 | Val: 1.6987e-05 | Test: 4.6219e-04 | LR=8.3e-04 *
Epoch  29/100 | Steps:  29000 | α=1e-03 | Loss: 1.4547e-04 | BC: 3.8107e-05 | PDE: 1.0737e-01 | Val: 2.9048e-05 | Test: 6.8905e-04 | LR=8.2e-04
Epoch  30/100 | Steps:  30000 | α=1e-03 | Loss: 1.2759e-04 | BC: 3.8016e-05 | PDE: 8.9570e-02 | Val: 3.3342e-05 | Test: 8.1401e-04 | LR=8.1e-04
