
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: DomainDecompositionPINN
  Hidden layers: [32, 32, 32, 32]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 13,188

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: ReLoBRaLo
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | w_bc=1.08 w_pde=0.92 | Loss: 6.5383e-03 | BC: 4.5840e-03 | PDE: 1.9628e-03 | Intf: 2.1021e-04 | Val: 3.5383e-04 | Test: 1.0743e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | w_bc=1.07 w_pde=0.93 | Loss: 6.8360e-04 | BC: 3.6029e-04 | PDE: 1.2100e-04 | Intf: 1.8212e-04 | Val: 6.1163e-04 | Test: 6.7378e-04 | LR=1.0e-03
Epoch   3/100 | Steps:   3000 | w_bc=1.01 w_pde=0.99 | Loss: 4.7963e-04 | BC: 2.1443e-04 | PDE: 9.0921e-05 | Intf: 1.6922e-04 | Val: 8.2500e-04 | Test: 5.8142e-04 | LR=1.0e-03
Epoch   4/100 | Steps:   4000 | w_bc=0.93 w_pde=1.07 | Loss: 3.6077e-04 | BC: 1.4338e-04 | PDE: 7.9965e-05 | Intf: 1.3965e-04 | Val: 7.3217e-05 | Test: 1.1197e-04 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | w_bc=0.92 w_pde=1.08 | Loss: 3.3937e-04 | BC: 1.3257e-04 | PDE: 6.2293e-05 | Intf: 1.5020e-04 | Val: 1.4557e-04 | Test: 1.2111e-04 | LR=1.0e-03
Epoch   6/100 | Steps:   6000 | w_bc=0.90 w_pde=1.10 | Loss: 2.8703e-04 | BC: 1.1576e-04 | PDE: 3.9372e-05 | Intf: 1.3763e-04 | Val: 7.9191e-06 | Test: 3.1556e-05 | LR=9.9e-04 *
Epoch   7/100 | Steps:   7000 | w_bc=0.93 w_pde=1.07 | Loss: 2.8769e-04 | BC: 1.2914e-04 | PDE: 3.3919e-05 | Intf: 1.3303e-04 | Val: 2.1093e-03 | Test: 1.1574e-03 | LR=9.9e-04
Epoch   8/100 | Steps:   8000 | w_bc=0.91 w_pde=1.09 | Loss: 2.5962e-04 | BC: 1.1333e-04 | PDE: 3.8694e-05 | Intf: 1.1444e-04 | Val: 6.1212e-06 | Test: 1.6181e-05 | LR=9.9e-04 *
Epoch   9/100 | Steps:   9000 | w_bc=0.90 w_pde=1.10 | Loss: 2.1612e-04 | BC: 9.4486e-05 | PDE: 3.5939e-05 | Intf: 9.1344e-05 | Val: 8.1670e-05 | Test: 5.5869e-05 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | w_bc=0.92 w_pde=1.08 | Loss: 2.6187e-04 | BC: 1.0733e-04 | PDE: 4.4169e-05 | Intf: 1.1602e-04 | Val: 3.4030e-05 | Test: 4.0206e-05 | LR=9.8e-04
Epoch  11/100 | Steps:  11000 | w_bc=0.94 w_pde=1.06 | Loss: 2.5452e-04 | BC: 1.0496e-04 | PDE: 4.1296e-05 | Intf: 1.1270e-04 | Val: 2.4847e-05 | Test: 3.1268e-05 | LR=9.8e-04
Epoch  12/100 | Steps:  12000 | w_bc=0.94 w_pde=1.06 | Loss: 1.7669e-04 | BC: 7.8006e-05 | PDE: 2.7661e-05 | Intf: 7.3957e-05 | Val: 7.0394e-06 | Test: 1.2590e-05 | LR=9.7e-04
Epoch  13/100 | Steps:  13000 | w_bc=0.96 w_pde=1.04 | Loss: 2.4090e-04 | BC: 1.0049e-04 | PDE: 3.5002e-05 | Intf: 1.0899e-04 | Val: 3.6527e-04 | Test: 1.8725e-04 | LR=9.7e-04
Epoch  14/100 | Steps:  14000 | w_bc=0.94 w_pde=1.06 | Loss: 1.6174e-04 | BC: 7.1883e-05 | PDE: 2.6075e-05 | Intf: 6.6760e-05 | Val: 4.7242e-04 | Test: 2.5819e-04 | LR=9.6e-04
Epoch  15/100 | Steps:  15000 | w_bc=0.93 w_pde=1.07 | Loss: 2.3750e-04 | BC: 9.2184e-05 | PDE: 4.6862e-05 | Intf: 1.0130e-04 | Val: 2.8635e-06 | Test: 7.8299e-06 | LR=9.5e-04 *
Epoch  16/100 | Steps:  16000 | w_bc=0.98 w_pde=1.02 | Loss: 1.6409e-04 | BC: 7.0330e-05 | PDE: 2.9324e-05 | Intf: 6.6362e-05 | Val: 2.1690e-05 | Test: 1.7662e-05 | LR=9.5e-04
Epoch  17/100 | Steps:  17000 | w_bc=1.02 w_pde=0.98 | Loss: 1.7287e-04 | BC: 6.9379e-05 | PDE: 2.3968e-05 | Intf: 7.9411e-05 | Val: 1.4536e-06 | Test: 6.3858e-06 | LR=9.4e-04 *
Epoch  18/100 | Steps:  18000 | w_bc=0.98 w_pde=1.02 | Loss: 1.6524e-04 | BC: 7.2047e-05 | PDE: 2.2395e-05 | Intf: 7.0704e-05 | Val: 2.0954e-04 | Test: 1.0976e-04 | LR=9.3e-04
Epoch  19/100 | Steps:  19000 | w_bc=0.97 w_pde=1.03 | Loss: 1.4154e-04 | BC: 5.6748e-05 | PDE: 2.3157e-05 | Intf: 6.2443e-05 | Val: 3.2035e-04 | Test: 1.7543e-04 | LR=9.2e-04
Epoch  20/100 | Steps:  20000 | w_bc=0.97 w_pde=1.03 | Loss: 1.7186e-04 | BC: 6.6560e-05 | PDE: 3.1998e-05 | Intf: 7.4520e-05 | Val: 2.7632e-04 | Test: 1.4632e-04 | LR=9.1e-04
Epoch  21/100 | Steps:  21000 | w_bc=0.98 w_pde=1.02 | Loss: 1.3973e-04 | BC: 6.1390e-05 | PDE: 1.6682e-05 | Intf: 6.3113e-05 | Val: 6.0959e-04 | Test: 3.3669e-04 | LR=9.1e-04
Epoch  22/100 | Steps:  22000 | w_bc=0.96 w_pde=1.04 | Loss: 1.2502e-04 | BC: 5.3568e-05 | PDE: 1.7405e-05 | Intf: 5.4910e-05 | Val: 1.1613e-05 | Test: 1.2421e-05 | LR=9.0e-04
Epoch  23/100 | Steps:  23000 | w_bc=1.03 w_pde=0.97 | Loss: 1.2261e-04 | BC: 5.4822e-05 | PDE: 1.7607e-05 | Intf: 5.1171e-05 | Val: 1.3850e-05 | Test: 1.0880e-05 | LR=8.9e-04
