
============================================================
Running Example: arctan
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [32, 32, 32, 32]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 3,297

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 1.7263e-02 | BC: 1.7150e-02 | PDE: 1.1327e+01 | Val: 6.2653e-04 | Test: 9.6278e-04 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 4.0000e-04 | BC: 3.2421e-04 | PDE: 7.5793e+00 | Val: 9.3484e-05 | Test: 3.0817e-04 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 1.1249e-04 | BC: 7.6000e-05 | PDE: 3.6487e+00 | Val: 3.2216e-05 | Test: 2.6227e-04 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 5.4497e-05 | BC: 3.7825e-05 | PDE: 1.6671e+00 | Val: 1.5613e-05 | Test: 1.9363e-04 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 3.1893e-05 | BC: 2.4189e-05 | PDE: 7.7038e-01 | Val: 8.1112e-06 | Test: 1.3783e-04 | LR=1.0e-03 *
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 2.7128e-05 | BC: 2.3342e-05 | PDE: 3.7862e-01 | Val: 1.2857e-05 | Test: 1.1977e-04 | LR=9.9e-04
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 1.2987e-05 | BC: 1.1230e-05 | PDE: 1.7569e-01 | Val: 3.6709e-06 | Test: 9.7169e-05 | LR=9.9e-04 *
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 1.5136e-05 | BC: 1.4001e-05 | PDE: 1.1351e-01 | Val: 2.7284e-06 | Test: 7.7194e-05 | LR=9.9e-04 *
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 1.1604e-05 | BC: 1.0838e-05 | PDE: 7.6607e-02 | Val: 2.6643e-06 | Test: 7.5864e-05 | LR=9.8e-04 *
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 1.1656e-05 | BC: 1.1095e-05 | PDE: 5.6192e-02 | Val: 1.9573e-05 | Test: 8.0263e-05 | LR=9.8e-04
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 1.0355e-05 | BC: 9.8564e-06 | PDE: 4.9828e-02 | Val: 2.0614e-05 | Test: 6.7628e-05 | LR=9.8e-04
Epoch  12/100 | Steps:  12000 | α=1e-05 | Loss: 8.4473e-06 | BC: 8.0994e-06 | PDE: 3.4788e-02 | Val: 1.5959e-05 | Test: 6.6628e-05 | LR=9.7e-04
Epoch  13/100 | Steps:  13000 | α=1e-05 | Loss: 8.5829e-06 | BC: 8.3091e-06 | PDE: 2.7383e-02 | Val: 4.2890e-06 | Test: 4.9678e-05 | LR=9.7e-04
Epoch  14/100 | Steps:  14000 | α=1e-05 | Loss: 9.5195e-06 | BC: 9.2468e-06 | PDE: 2.7274e-02 | Val: 1.2288e-06 | Test: 3.7155e-05 | LR=9.6e-04 *
Epoch  15/100 | Steps:  15000 | α=1e-05 | Loss: 9.6718e-06 | BC: 9.4545e-06 | PDE: 2.1732e-02 | Val: 2.2091e-06 | Test: 3.4143e-05 | LR=9.5e-04
Epoch  16/100 | Steps:  16000 | α=1e-05 | Loss: 7.2896e-06 | BC: 7.1225e-06 | PDE: 1.6707e-02 | Val: 5.0622e-07 | Test: 2.8299e-05 | LR=9.5e-04 *

>>> Alpha increased: 1e-05 → 1e-04 (BC=9.8591e-06) <<<
Epoch  17/100 | Steps:  17000 | α=1e-04 | Loss: 1.0014e-05 | BC: 9.8591e-06 | PDE: 1.5437e-02 | Val: 5.1256e-07 | Test: 2.1740e-05 | LR=9.4e-04 *
Epoch  18/100 | Steps:  18000 | α=1e-04 | Loss: 1.0536e-05 | BC: 9.1460e-06 | PDE: 1.3896e-02 | Val: 4.5796e-05 | Test: 4.8445e-05 | LR=9.3e-04
Epoch  19/100 | Steps:  19000 | α=1e-04 | Loss: 8.6063e-06 | BC: 8.0007e-06 | PDE: 6.0554e-03 | Val: 6.5298e-06 | Test: 1.7402e-05 | LR=9.2e-04
Epoch  20/100 | Steps:  20000 | α=1e-04 | Loss: 6.3759e-06 | BC: 5.9885e-06 | PDE: 3.8738e-03 | Val: 6.9912e-06 | Test: 2.8557e-05 | LR=9.1e-04
Epoch  21/100 | Steps:  21000 | α=1e-04 | Loss: 6.9374e-06 | BC: 6.6080e-06 | PDE: 3.2940e-03 | Val: 3.4098e-06 | Test: 1.4628e-05 | LR=9.1e-04
Epoch  22/100 | Steps:  22000 | α=1e-04 | Loss: 1.0942e-05 | BC: 1.0606e-05 | PDE: 3.3548e-03 | Val: 9.4841e-07 | Test: 1.0806e-05 | LR=9.0e-04
