
============================================================
Running Example: arctan
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: None (constant LR=1.0e-03)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 1.2473e-02 | BC: 1.2374e-02 | PDE: 9.9272e+00 | Val: 2.9856e-04 | Test: 4.0784e-03 |  *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 3.6901e-04 | BC: 3.1239e-04 | PDE: 5.6622e+00 | Val: 4.7712e-04 | Test: 5.8298e-04 | 
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 1.6259e-04 | BC: 1.3918e-04 | PDE: 2.3418e+00 | Val: 6.8514e-05 | Test: 1.5369e-04 |  *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 9.8665e-05 | BC: 9.0182e-05 | PDE: 8.4834e-01 | Val: 3.8151e-04 | Test: 6.4760e-04 | 
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 8.4111e-05 | BC: 8.0353e-05 | PDE: 3.7579e-01 | Val: 8.4724e-04 | Test: 1.1691e-03 | 
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 5.2954e-05 | BC: 5.1272e-05 | PDE: 1.6822e-01 | Val: 5.2041e-05 | Test: 1.0352e-04 |  *
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 5.2958e-05 | BC: 5.2052e-05 | PDE: 9.0625e-02 | Val: 1.4580e-05 | Test: 2.4157e-05 |  *
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 4.0938e-05 | BC: 4.0365e-05 | PDE: 5.7245e-02 | Val: 1.0578e-05 | Test: 1.7808e-05 |  *
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 4.2532e-05 | BC: 4.2054e-05 | PDE: 4.7790e-02 | Val: 3.3933e-05 | Test: 2.1602e-05 | 
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 3.9100e-05 | BC: 3.8637e-05 | PDE: 4.6249e-02 | Val: 3.9430e-05 | Test: 3.9255e-05 | 
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 3.6468e-05 | BC: 3.5946e-05 | PDE: 5.2217e-02 | Val: 4.2349e-06 | Test: 8.1836e-06 |  *
