
============================================================
Running Example: aronsson_disc
============================================================

Generated full disc domain data:
  Boundary points: 10,000
  Interior points: 783,764
  Test points: 7,668
Re-sampling enabled: ~783,764 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 8,000 train, 2,000 val
  Interior: 627,011 train, 156,753 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 17,025

Training configuration:
  Boundary points (train): 8,000 -> 20 batches of 400
  Interior points (train): 783,764 -> 784 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 2,000
  Validation loss: BC only
  Steps per epoch: 784
  Total steps: 78,400
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:    784 | α=1e-05 | Loss: 6.0521e-02 | BC: 6.0500e-02 | PDE: 2.1444e+00 | Val: 2.8509e-04 | Test: 2.1285e-02 | LR=1.0e-03 *
Epoch   2/100 | Steps:   1568 | α=1e-05 | Loss: 1.8061e-04 | BC: 1.5704e-04 | PDE: 2.3569e+00 | Val: 1.3102e-04 | Test: 1.6417e-02 | LR=1.0e-03 *
Epoch   3/100 | Steps:   2352 | α=1e-05 | Loss: 1.2550e-04 | BC: 1.0636e-04 | PDE: 1.9142e+00 | Val: 1.1461e-04 | Test: 1.2132e-02 | LR=1.0e-03 *
Epoch   4/100 | Steps:   3136 | α=1e-05 | Loss: 1.0711e-04 | BC: 9.2406e-05 | PDE: 1.4701e+00 | Val: 6.6244e-05 | Test: 1.0349e-02 | LR=1.0e-03 *
Epoch   5/100 | Steps:   3920 | α=1e-05 | Loss: 7.7346e-05 | BC: 6.6169e-05 | PDE: 1.1176e+00 | Val: 7.3388e-05 | Test: 1.0990e-02 | LR=1.0e-03
Epoch   6/100 | Steps:   4704 | α=1e-05 | Loss: 5.8209e-05 | BC: 4.9455e-05 | PDE: 8.7542e-01 | Val: 3.3014e-05 | Test: 8.5269e-03 | LR=9.9e-04 *
Epoch   7/100 | Steps:   5488 | α=1e-05 | Loss: 5.1900e-05 | BC: 4.4714e-05 | PDE: 7.1862e-01 | Val: 1.9135e-05 | Test: 7.2080e-03 | LR=9.9e-04 *
Epoch   8/100 | Steps:   6272 | α=1e-05 | Loss: 4.2209e-05 | BC: 3.6217e-05 | PDE: 5.9920e-01 | Val: 9.9429e-05 | Test: 5.1063e-03 | LR=9.9e-04
Epoch   9/100 | Steps:   7056 | α=1e-05 | Loss: 3.5044e-05 | BC: 2.9928e-05 | PDE: 5.1167e-01 | Val: 5.9633e-05 | Test: 4.4449e-03 | LR=9.8e-04
Epoch  10/100 | Steps:   7840 | α=1e-05 | Loss: 3.6883e-05 | BC: 3.2396e-05 | PDE: 4.4862e-01 | Val: 1.4652e-05 | Test: 3.0365e-03 | LR=9.8e-04 *
Epoch  11/100 | Steps:   8624 | α=1e-05 | Loss: 3.8454e-05 | BC: 3.4402e-05 | PDE: 4.0517e-01 | Val: 1.2635e-05 | Test: 2.2078e-03 | LR=9.8e-04 *
Epoch  12/100 | Steps:   9408 | α=1e-05 | Loss: 2.9410e-05 | BC: 2.5621e-05 | PDE: 3.7892e-01 | Val: 8.8555e-06 | Test: 1.6598e-03 | LR=9.7e-04 *
Epoch  13/100 | Steps:  10192 | α=1e-05 | Loss: 2.9328e-05 | BC: 2.5714e-05 | PDE: 3.6141e-01 | Val: 1.5652e-05 | Test: 1.1444e-03 | LR=9.7e-04
Epoch  14/100 | Steps:  10976 | α=1e-05 | Loss: 2.7493e-05 | BC: 2.4009e-05 | PDE: 3.4843e-01 | Val: 3.8108e-05 | Test: 9.5537e-04 | LR=9.6e-04
Epoch  15/100 | Steps:  11760 | α=1e-05 | Loss: 2.9873e-05 | BC: 2.6455e-05 | PDE: 3.4176e-01 | Val: 2.7726e-05 | Test: 8.0881e-04 | LR=9.5e-04
Epoch  16/100 | Steps:  12544 | α=1e-05 | Loss: 2.6271e-05 | BC: 2.2923e-05 | PDE: 3.3485e-01 | Val: 7.3376e-06 | Test: 6.6081e-04 | LR=9.5e-04 *

>>> Alpha increased: 1e-05 → 1e-04 (BC=2.2181e-05) <<<
Epoch  17/100 | Steps:  13328 | α=1e-04 | Loss: 2.5492e-05 | BC: 2.2181e-05 | PDE: 3.3103e-01 | Val: 8.7820e-06 | Test: 5.8462e-04 | LR=9.4e-04 *
Epoch  18/100 | Steps:  14112 | α=1e-04 | Loss: 4.6508e-05 | BC: 2.2158e-05 | PDE: 2.4350e-01 | Val: 1.6360e-05 | Test: 1.6334e-04 | LR=9.3e-04
Epoch  19/100 | Steps:  14896 | α=1e-04 | Loss: 4.1655e-05 | BC: 2.4823e-05 | PDE: 1.6832e-01 | Val: 1.7123e-05 | Test: 6.7699e-05 | LR=9.2e-04
Epoch  20/100 | Steps:  15680 | α=1e-04 | Loss: 3.6202e-05 | BC: 2.2318e-05 | PDE: 1.3883e-01 | Val: 1.4888e-05 | Test: 4.7721e-05 | LR=9.1e-04
Epoch  21/100 | Steps:  16464 | α=1e-04 | Loss: 3.5811e-05 | BC: 2.3422e-05 | PDE: 1.2389e-01 | Val: 2.8510e-05 | Test: 6.8246e-05 | LR=9.1e-04
Epoch  22/100 | Steps:  17248 | α=1e-04 | Loss: 3.1701e-05 | BC: 2.0087e-05 | PDE: 1.1614e-01 | Val: 1.5799e-05 | Test: 3.0334e-05 | LR=9.0e-04
Epoch  23/100 | Steps:  18032 | α=1e-04 | Loss: 2.9977e-05 | BC: 1.8863e-05 | PDE: 1.1114e-01 | Val: 1.5610e-05 | Test: 3.2527e-05 | LR=8.9e-04
Epoch  24/100 | Steps:  18816 | α=1e-04 | Loss: 3.0387e-05 | BC: 1.9563e-05 | PDE: 1.0824e-01 | Val: 3.5928e-05 | Test: 3.3935e-05 | LR=8.8e-04

>>> Alpha increased: 1e-04 → 1e-03 (BC=2.0577e-05) <<<
Epoch  25/100 | Steps:  19600 | α=1e-03 | Loss: 3.1066e-05 | BC: 2.0577e-05 | PDE: 1.0489e-01 | Val: 1.5159e-05 | Test: 2.3977e-05 | LR=8.7e-04 *
Epoch  26/100 | Steps:  20384 | α=1e-03 | Loss: 1.0828e-04 | BC: 2.6233e-05 | PDE: 8.2047e-02 | Val: 2.2150e-05 | Test: 3.4236e-05 | LR=8.6e-04
Epoch  27/100 | Steps:  21168 | α=1e-03 | Loss: 1.0007e-04 | BC: 2.5063e-05 | PDE: 7.5008e-02 | Val: 2.7439e-05 | Test: 5.0479e-05 | LR=8.4e-04
Epoch  28/100 | Steps:  21952 | α=1e-03 | Loss: 9.3529e-05 | BC: 2.3493e-05 | PDE: 7.0036e-02 | Val: 2.1989e-05 | Test: 2.8570e-05 | LR=8.3e-04
Epoch  29/100 | Steps:  22736 | α=1e-03 | Loss: 8.6639e-05 | BC: 2.0251e-05 | PDE: 6.6388e-02 | Val: 1.4870e-05 | Test: 2.4325e-05 | LR=8.2e-04 *
Epoch  30/100 | Steps:  23520 | α=1e-03 | Loss: 8.0248e-05 | BC: 1.9448e-05 | PDE: 6.0800e-02 | Val: 3.3822e-05 | Test: 4.2861e-05 | LR=8.1e-04
Epoch  31/100 | Steps:  24304 | α=1e-03 | Loss: 7.2211e-05 | BC: 1.7720e-05 | PDE: 5.4491e-02 | Val: 7.7381e-06 | Test: 2.0924e-05 | LR=8.0e-04 *
Epoch  32/100 | Steps:  25088 | α=1e-03 | Loss: 6.6151e-05 | BC: 1.7830e-05 | PDE: 4.8321e-02 | Val: 7.1874e-06 | Test: 2.2789e-05 | LR=7.8e-04 *
Epoch  33/100 | Steps:  25872 | α=1e-03 | Loss: 5.7287e-05 | BC: 1.1778e-05 | PDE: 4.5509e-02 | Val: 9.0367e-06 | Test: 2.0259e-05 | LR=7.7e-04
Epoch  34/100 | Steps:  26656 | α=1e-03 | Loss: 5.6102e-05 | BC: 1.3625e-05 | PDE: 4.2477e-02 | Val: 6.7166e-06 | Test: 1.6375e-05 | LR=7.6e-04 *
Epoch  35/100 | Steps:  27440 | α=1e-03 | Loss: 5.2276e-05 | BC: 1.1721e-05 | PDE: 4.0555e-02 | Val: 8.6057e-06 | Test: 1.4883e-05 | LR=7.4e-04
Epoch  36/100 | Steps:  28224 | α=1e-03 | Loss: 4.9866e-05 | BC: 1.0854e-05 | PDE: 3.9012e-02 | Val: 1.1431e-05 | Test: 1.5974e-05 | LR=7.3e-04
Epoch  37/100 | Steps:  29008 | α=1e-03 | Loss: 4.7957e-05 | BC: 1.0383e-05 | PDE: 3.7573e-02 | Val: 4.8508e-06 | Test: 1.4923e-05 | LR=7.2e-04 *

>>> Alpha increased: 1e-03 → 1e-02 (BC=9.9114e-06) <<<
Epoch  38/100 | Steps:  29792 | α=1e-02 | Loss: 4.6696e-05 | BC: 9.9114e-06 | PDE: 3.6785e-02 | Val: 1.6663e-05 | Test: 2.0592e-05 | LR=7.0e-04 *
Epoch  39/100 | Steps:  30576 | α=1e-02 | Loss: 3.5737e-04 | BC: 3.3463e-05 | PDE: 3.2391e-02 | Val: 8.1018e-06 | Test: 1.4068e-05 | LR=6.9e-04 *
Epoch  40/100 | Steps:  31360 | α=1e-02 | Loss: 2.7474e-04 | BC: 1.7451e-05 | PDE: 2.5729e-02 | Val: 7.6811e-05 | Test: 6.3221e-05 | LR=6.7e-04
Epoch  41/100 | Steps:  32144 | α=1e-02 | Loss: 2.3207e-04 | BC: 1.2425e-05 | PDE: 2.1964e-02 | Val: 5.6616e-06 | Test: 9.1456e-06 | LR=6.6e-04 *
Epoch  42/100 | Steps:  32928 | α=1e-02 | Loss: 2.0516e-04 | BC: 1.2534e-05 | PDE: 1.9262e-02 | Val: 1.8777e-05 | Test: 1.3213e-05 | LR=6.4e-04
Epoch  43/100 | Steps:  33712 | α=1e-02 | Loss: 1.8440e-04 | BC: 1.2017e-05 | PDE: 1.7239e-02 | Val: 4.9970e-06 | Test: 8.3827e-06 | LR=6.3e-04 *
Epoch  44/100 | Steps:  34496 | α=1e-02 | Loss: 1.7510e-04 | BC: 1.5520e-05 | PDE: 1.5958e-02 | Val: 1.4665e-05 | Test: 1.0513e-05 | LR=6.1e-04
Epoch  45/100 | Steps:  35280 | α=1e-02 | Loss: 1.5742e-04 | BC: 1.0544e-05 | PDE: 1.4688e-02 | Val: 8.0688e-06 | Test: 1.1677e-05 | LR=6.0e-04
Epoch  46/100 | Steps:  36064 | α=1e-02 | Loss: 1.4290e-04 | BC: 8.1576e-06 | PDE: 1.3474e-02 | Val: 2.1223e-05 | Test: 2.2664e-05 | LR=5.8e-04
Epoch  47/100 | Steps:  36848 | α=1e-02 | Loss: 1.3555e-04 | BC: 9.9025e-06 | PDE: 1.2564e-02 | Val: 9.5373e-06 | Test: 1.0442e-05 | LR=5.7e-04
Epoch  48/100 | Steps:  37632 | α=1e-02 | Loss: 1.2549e-04 | BC: 7.8656e-06 | PDE: 1.1762e-02 | Val: 7.4238e-06 | Test: 6.1249e-06 | LR=5.5e-04
Epoch  49/100 | Steps:  38416 | α=1e-02 | Loss: 1.2552e-04 | BC: 1.2344e-05 | PDE: 1.1317e-02 | Val: 1.1177e-05 | Test: 8.3895e-06 | LR=5.4e-04
Epoch  50/100 | Steps:  39200 | α=1e-02 | Loss: 1.1103e-04 | BC: 7.6124e-06 | PDE: 1.0342e-02 | Val: 6.4401e-06 | Test: 1.0933e-05 | LR=5.2e-04

>>> Alpha increased: 1e-02 → 1e-01 (BC=8.3218e-06) <<<
