
============================================================
Running Example: aronsson_disc
============================================================

Generated full disc domain data:
  Boundary points: 10,000
  Interior points: 783,764
  Test points: 7,668
Re-sampling enabled: ~783,764 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 8,000 train, 2,000 val
  Interior: 627,011 train, 156,753 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 33,537

Training configuration:
  Boundary points (train): 8,000 -> 20 batches of 400
  Interior points (train): 783,764 -> 784 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 2,000
  Validation loss: BC only
  Steps per epoch: 784
  Total steps: 78,400
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:    784 | α=1e-05 | Loss: 3.0947e-02 | BC: 3.0920e-02 | PDE: 2.7882e+00 | Val: 1.7056e-04 | Test: 6.0715e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   1568 | α=1e-05 | Loss: 2.4039e-04 | BC: 2.0897e-04 | PDE: 3.1419e+00 | Val: 1.1291e-04 | Test: 6.8829e-03 | LR=1.0e-03 *
Epoch   3/100 | Steps:   2352 | α=1e-05 | Loss: 2.2421e-04 | BC: 1.9335e-04 | PDE: 3.0864e+00 | Val: 1.8054e-04 | Test: 7.2777e-03 | LR=1.0e-03
Epoch   4/100 | Steps:   3136 | α=1e-05 | Loss: 2.0170e-04 | BC: 1.7269e-04 | PDE: 2.9017e+00 | Val: 2.3323e-04 | Test: 7.1116e-03 | LR=1.0e-03
Epoch   5/100 | Steps:   3920 | α=1e-05 | Loss: 1.6435e-04 | BC: 1.3815e-04 | PDE: 2.6199e+00 | Val: 9.1756e-05 | Test: 6.2280e-03 | LR=1.0e-03 *
Epoch   6/100 | Steps:   4704 | α=1e-05 | Loss: 1.3568e-04 | BC: 1.1257e-04 | PDE: 2.3107e+00 | Val: 4.0124e-04 | Test: 6.3398e-03 | LR=9.9e-04
Epoch   7/100 | Steps:   5488 | α=1e-05 | Loss: 1.2647e-04 | BC: 1.0685e-04 | PDE: 1.9618e+00 | Val: 3.1185e-05 | Test: 5.7677e-03 | LR=9.9e-04 *
Epoch   8/100 | Steps:   6272 | α=1e-05 | Loss: 1.1022e-04 | BC: 9.3131e-05 | PDE: 1.7085e+00 | Val: 8.7933e-05 | Test: 5.2710e-03 | LR=9.9e-04
Epoch   9/100 | Steps:   7056 | α=1e-05 | Loss: 1.0042e-04 | BC: 8.5080e-05 | PDE: 1.5342e+00 | Val: 1.4225e-04 | Test: 5.1159e-03 | LR=9.8e-04
Epoch  10/100 | Steps:   7840 | α=1e-05 | Loss: 1.0024e-04 | BC: 8.6432e-05 | PDE: 1.3811e+00 | Val: 1.2630e-04 | Test: 4.6238e-03 | LR=9.8e-04
Epoch  11/100 | Steps:   8624 | α=1e-05 | Loss: 7.7035e-05 | BC: 6.4443e-05 | PDE: 1.2592e+00 | Val: 2.1767e-05 | Test: 4.8444e-03 | LR=9.8e-04 *
Epoch  12/100 | Steps:   9408 | α=1e-05 | Loss: 8.4330e-05 | BC: 7.2992e-05 | PDE: 1.1337e+00 | Val: 2.2569e-05 | Test: 4.4933e-03 | LR=9.7e-04
Epoch  13/100 | Steps:  10192 | α=1e-05 | Loss: 7.5688e-05 | BC: 6.5585e-05 | PDE: 1.0103e+00 | Val: 8.7147e-05 | Test: 4.1147e-03 | LR=9.7e-04
Epoch  14/100 | Steps:  10976 | α=1e-05 | Loss: 6.8861e-05 | BC: 5.9673e-05 | PDE: 9.1874e-01 | Val: 4.6251e-05 | Test: 4.1746e-03 | LR=9.6e-04
