
============================================================
Running Example: aronsson_square
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: FixedAlphaSchedule
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=0e+00 | Loss: 2.2368e-02 | BC: 2.2368e-02 | PDE: 1.6442e+00 | Val: 3.0687e-04 | Test: 1.3606e-02 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=0e+00 | Loss: 3.5567e-04 | BC: 3.5567e-04 | PDE: 1.8627e+00 | Val: 1.1164e-04 | Test: 1.9336e-02 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=0e+00 | Loss: 2.3924e-04 | BC: 2.3924e-04 | PDE: 2.6558e+00 | Val: 9.3462e-05 | Test: 1.6936e-02 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=0e+00 | Loss: 1.5943e-04 | BC: 1.5943e-04 | PDE: 3.3959e+00 | Val: 1.2988e-04 | Test: 1.4443e-02 | LR=1.0e-03
Epoch   5/100 | Steps:   5000 | α=0e+00 | Loss: 1.5558e-04 | BC: 1.5558e-04 | PDE: 3.8179e+00 | Val: 3.5598e-05 | Test: 1.2977e-02 | LR=1.0e-03 *
Epoch   6/100 | Steps:   6000 | α=0e+00 | Loss: 1.5605e-04 | BC: 1.5605e-04 | PDE: 4.4716e+00 | Val: 1.0713e-04 | Test: 1.3943e-02 | LR=9.9e-04
Epoch   7/100 | Steps:   7000 | α=0e+00 | Loss: 1.0307e-04 | BC: 1.0307e-04 | PDE: 4.9710e+00 | Val: 8.1280e-05 | Test: 1.2466e-02 | LR=9.9e-04
Epoch   8/100 | Steps:   8000 | α=0e+00 | Loss: 1.0631e-04 | BC: 1.0631e-04 | PDE: 5.4804e+00 | Val: 6.3954e-05 | Test: 1.3446e-02 | LR=9.9e-04
Epoch   9/100 | Steps:   9000 | α=0e+00 | Loss: 1.0229e-04 | BC: 1.0229e-04 | PDE: 5.7265e+00 | Val: 8.5598e-05 | Test: 1.3916e-02 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=0e+00 | Loss: 9.0976e-05 | BC: 9.0976e-05 | PDE: 6.1296e+00 | Val: 1.7850e-05 | Test: 1.4596e-02 | LR=9.8e-04 *
Epoch  11/100 | Steps:  11000 | α=0e+00 | Loss: 7.8412e-05 | BC: 7.8412e-05 | PDE: 6.3425e+00 | Val: 1.1077e-04 | Test: 1.5388e-02 | LR=9.8e-04
Epoch  12/100 | Steps:  12000 | α=0e+00 | Loss: 6.6188e-05 | BC: 6.6188e-05 | PDE: 6.4770e+00 | Val: 2.3178e-05 | Test: 1.5156e-02 | LR=9.7e-04
Epoch  13/100 | Steps:  13000 | α=0e+00 | Loss: 7.7222e-05 | BC: 7.7222e-05 | PDE: 6.7589e+00 | Val: 1.3936e-05 | Test: 1.6257e-02 | LR=9.7e-04 *
Epoch  14/100 | Steps:  14000 | α=0e+00 | Loss: 5.2476e-05 | BC: 5.2476e-05 | PDE: 7.2545e+00 | Val: 1.3594e-04 | Test: 1.6210e-02 | LR=9.6e-04
Epoch  15/100 | Steps:  15000 | α=0e+00 | Loss: 4.8539e-05 | BC: 4.8539e-05 | PDE: 7.7266e+00 | Val: 2.1597e-05 | Test: 1.7649e-02 | LR=9.5e-04
Epoch  16/100 | Steps:  16000 | α=0e+00 | Loss: 5.3415e-05 | BC: 5.3415e-05 | PDE: 8.1684e+00 | Val: 9.8928e-06 | Test: 1.8653e-02 | LR=9.5e-04 *
Epoch  17/100 | Steps:  17000 | α=0e+00 | Loss: 5.6081e-05 | BC: 5.6081e-05 | PDE: 8.6810e+00 | Val: 2.3932e-05 | Test: 2.0022e-02 | LR=9.4e-04
Epoch  18/100 | Steps:  18000 | α=0e+00 | Loss: 3.2912e-05 | BC: 3.2912e-05 | PDE: 9.4839e+00 | Val: 6.5104e-06 | Test: 2.0782e-02 | LR=9.3e-04 *
Epoch  19/100 | Steps:  19000 | α=0e+00 | Loss: 3.8369e-05 | BC: 3.8369e-05 | PDE: 9.6577e+00 | Val: 2.5659e-05 | Test: 2.1161e-02 | LR=9.2e-04
Epoch  20/100 | Steps:  20000 | α=0e+00 | Loss: 3.5906e-05 | BC: 3.5906e-05 | PDE: 1.0471e+01 | Val: 5.5115e-05 | Test: 2.2989e-02 | LR=9.1e-04
Epoch  21/100 | Steps:  21000 | α=0e+00 | Loss: 3.3569e-05 | BC: 3.3569e-05 | PDE: 1.1010e+01 | Val: 1.7253e-05 | Test: 2.3355e-02 | LR=9.1e-04
Epoch  22/100 | Steps:  22000 | α=0e+00 | Loss: 3.3271e-05 | BC: 3.3271e-05 | PDE: 1.1602e+01 | Val: 6.7445e-04 | Test: 2.4923e-02 | LR=9.0e-04
Epoch  23/100 | Steps:  23000 | α=0e+00 | Loss: 3.5670e-05 | BC: 3.5670e-05 | PDE: 1.2393e+01 | Val: 3.3578e-05 | Test: 2.6084e-02 | LR=8.9e-04
Epoch  24/100 | Steps:  24000 | α=0e+00 | Loss: 2.6592e-05 | BC: 2.6592e-05 | PDE: 1.2337e+01 | Val: 3.4306e-06 | Test: 2.6122e-02 | LR=8.8e-04 *
Epoch  25/100 | Steps:  25000 | α=0e+00 | Loss: 3.4571e-05 | BC: 3.4571e-05 | PDE: 1.2988e+01 | Val: 1.3537e-05 | Test: 2.7118e-02 | LR=8.7e-04
Epoch  26/100 | Steps:  26000 | α=0e+00 | Loss: 2.7759e-05 | BC: 2.7759e-05 | PDE: 1.3140e+01 | Val: 1.0862e-05 | Test: 2.7333e-02 | LR=8.6e-04
Epoch  27/100 | Steps:  27000 | α=0e+00 | Loss: 1.8539e-05 | BC: 1.8539e-05 | PDE: 1.3524e+01 | Val: 4.9223e-06 | Test: 2.8337e-02 | LR=8.4e-04
Epoch  28/100 | Steps:  28000 | α=0e+00 | Loss: 2.3941e-05 | BC: 2.3941e-05 | PDE: 1.4106e+01 | Val: 2.5208e-05 | Test: 2.9184e-02 | LR=8.3e-04
Epoch  29/100 | Steps:  29000 | α=0e+00 | Loss: 2.4510e-05 | BC: 2.4510e-05 | PDE: 1.4663e+01 | Val: 4.7185e-06 | Test: 3.0098e-02 | LR=8.2e-04
Epoch  30/100 | Steps:  30000 | α=0e+00 | Loss: 1.4448e-05 | BC: 1.4448e-05 | PDE: 1.4755e+01 | Val: 6.5109e-06 | Test: 3.0678e-02 | LR=8.1e-04
Epoch  31/100 | Steps:  31000 | α=0e+00 | Loss: 1.7557e-05 | BC: 1.7557e-05 | PDE: 1.5455e+01 | Val: 1.0871e-05 | Test: 3.1725e-02 | LR=8.0e-04
Epoch  32/100 | Steps:  32000 | α=0e+00 | Loss: 1.5831e-05 | BC: 1.5831e-05 | PDE: 1.5991e+01 | Val: 1.6496e-06 | Test: 3.3371e-02 | LR=7.8e-04 *
Epoch  33/100 | Steps:  33000 | α=0e+00 | Loss: 1.7374e-05 | BC: 1.7374e-05 | PDE: 1.6546e+01 | Val: 7.8679e-06 | Test: 3.3555e-02 | LR=7.7e-04
Epoch  34/100 | Steps:  34000 | α=0e+00 | Loss: 1.6999e-05 | BC: 1.6999e-05 | PDE: 1.6743e+01 | Val: 4.5529e-05 | Test: 3.4099e-02 | LR=7.6e-04
Epoch  35/100 | Steps:  35000 | α=0e+00 | Loss: 1.3950e-05 | BC: 1.3950e-05 | PDE: 1.7027e+01 | Val: 4.0241e-06 | Test: 3.5293e-02 | LR=7.4e-04
Epoch  36/100 | Steps:  36000 | α=0e+00 | Loss: 1.4696e-05 | BC: 1.4696e-05 | PDE: 1.7498e+01 | Val: 2.6207e-06 | Test: 3.5169e-02 | LR=7.3e-04
Epoch  37/100 | Steps:  37000 | α=0e+00 | Loss: 1.7774e-05 | BC: 1.7774e-05 | PDE: 1.7717e+01 | Val: 7.2263e-07 | Test: 3.6006e-02 | LR=7.2e-04 *
Epoch  38/100 | Steps:  38000 | α=0e+00 | Loss: 6.9743e-06 | BC: 6.9743e-06 | PDE: 1.8123e+01 | Val: 4.0628e-05 | Test: 3.6788e-02 | LR=7.0e-04
Epoch  39/100 | Steps:  39000 | α=0e+00 | Loss: 1.1082e-05 | BC: 1.1082e-05 | PDE: 1.8801e+01 | Val: 7.7343e-07 | Test: 3.7712e-02 | LR=6.9e-04
Epoch  40/100 | Steps:  40000 | α=0e+00 | Loss: 1.0813e-05 | BC: 1.0813e-05 | PDE: 1.9583e+01 | Val: 3.8960e-06 | Test: 3.7952e-02 | LR=6.7e-04
Epoch  41/100 | Steps:  41000 | α=0e+00 | Loss: 1.1550e-05 | BC: 1.1550e-05 | PDE: 2.0226e+01 | Val: 2.6449e-06 | Test: 3.9082e-02 | LR=6.6e-04
Epoch  42/100 | Steps:  42000 | α=0e+00 | Loss: 9.1424e-06 | BC: 9.1424e-06 | PDE: 2.0575e+01 | Val: 1.9791e-06 | Test: 3.8983e-02 | LR=6.4e-04
Epoch  43/100 | Steps:  43000 | α=0e+00 | Loss: 1.0478e-05 | BC: 1.0478e-05 | PDE: 2.0911e+01 | Val: 3.0500e-05 | Test: 3.9331e-02 | LR=6.3e-04
Epoch  44/100 | Steps:  44000 | α=0e+00 | Loss: 7.7500e-06 | BC: 7.7500e-06 | PDE: 2.1465e+01 | Val: 8.9261e-06 | Test: 4.0208e-02 | LR=6.1e-04
Epoch  45/100 | Steps:  45000 | α=0e+00 | Loss: 7.1208e-06 | BC: 7.1208e-06 | PDE: 2.2205e+01 | Val: 8.4801e-06 | Test: 4.0136e-02 | LR=6.0e-04
Epoch  46/100 | Steps:  46000 | α=0e+00 | Loss: 1.1269e-05 | BC: 1.1269e-05 | PDE: 2.2408e+01 | Val: 1.2831e-06 | Test: 4.0453e-02 | LR=5.8e-04
Epoch  47/100 | Steps:  47000 | α=0e+00 | Loss: 7.5167e-06 | BC: 7.5167e-06 | PDE: 2.2813e+01 | Val: 1.2969e-06 | Test: 4.1341e-02 | LR=5.7e-04
