/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Using device: cuda
Random seed: 1234

============================================================
Running Example: aronsson_square
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [256, 256, 256, 256]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 198,401

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 2.8435e-02 | BC: 2.8415e-02 | PDE: 2.0483e+00 | Val: 8.3908e-04 | Test: 8.8221e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 6.6485e-04 | BC: 6.4385e-04 | PDE: 2.1006e+00 | Val: 1.5209e-04 | Test: 4.8557e-03 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 3.8312e-04 | BC: 3.5897e-04 | PDE: 2.4153e+00 | Val: 3.4827e-04 | Test: 5.5319e-03 | LR=1.0e-03
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 3.2598e-04 | BC: 2.9975e-04 | PDE: 2.6229e+00 | Val: 1.2277e-04 | Test: 4.8589e-03 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 3.3612e-04 | BC: 3.0874e-04 | PDE: 2.7377e+00 | Val: 1.0176e-04 | Test: 5.6349e-03 | LR=1.0e-03 *
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 3.3327e-04 | BC: 3.0690e-04 | PDE: 2.6373e+00 | Val: 7.0749e-05 | Test: 4.8036e-03 | LR=9.9e-04 *
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 1.9285e-04 | BC: 1.6999e-04 | PDE: 2.2859e+00 | Val: 2.4307e-04 | Test: 5.0199e-03 | LR=9.9e-04
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 2.2185e-04 | BC: 2.0005e-04 | PDE: 2.1801e+00 | Val: 1.5730e-03 | Test: 5.2568e-03 | LR=9.9e-04
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 1.6590e-04 | BC: 1.4658e-04 | PDE: 1.9328e+00 | Val: 3.4648e-05 | Test: 2.5215e-03 | LR=9.8e-04 *
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 1.5158e-04 | BC: 1.3590e-04 | PDE: 1.5686e+00 | Val: 3.2644e-05 | Test: 2.3488e-03 | LR=9.8e-04 *
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 1.2961e-04 | BC: 1.1510e-04 | PDE: 1.4502e+00 | Val: 3.5123e-04 | Test: 2.2735e-03 | LR=9.8e-04
