
============================================================
Running Example: aronsson_square
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 17,025

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 5.3205e-02 | BC: 5.3194e-02 | PDE: 1.1442e+00 | Val: 4.4678e-04 | Test: 1.2238e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 3.7382e-04 | BC: 3.6513e-04 | PDE: 8.6830e-01 | Val: 3.7468e-04 | Test: 1.6774e-03 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 2.5021e-04 | BC: 2.4376e-04 | PDE: 6.4575e-01 | Val: 2.0591e-04 | Test: 2.5796e-03 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 1.2886e-04 | BC: 1.2463e-04 | PDE: 4.2249e-01 | Val: 7.4719e-05 | Test: 2.1421e-03 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 7.1471e-05 | BC: 6.8393e-05 | PDE: 3.0775e-01 | Val: 7.8211e-05 | Test: 1.2102e-03 | LR=1.0e-03
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 6.2094e-05 | BC: 5.9280e-05 | PDE: 2.8141e-01 | Val: 6.6763e-05 | Test: 8.5741e-04 | LR=9.9e-04 *
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 5.2837e-05 | BC: 5.0095e-05 | PDE: 2.7420e-01 | Val: 4.2384e-05 | Test: 1.1043e-03 | LR=9.9e-04 *
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 4.3876e-05 | BC: 4.1238e-05 | PDE: 2.6381e-01 | Val: 3.1174e-05 | Test: 1.1462e-03 | LR=9.9e-04 *
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 4.8709e-05 | BC: 4.6172e-05 | PDE: 2.5363e-01 | Val: 3.6374e-05 | Test: 1.1462e-03 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 3.6472e-05 | BC: 3.4057e-05 | PDE: 2.4154e-01 | Val: 3.2601e-05 | Test: 1.2209e-03 | LR=9.8e-04
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 3.6499e-05 | BC: 3.4214e-05 | PDE: 2.2856e-01 | Val: 6.8245e-05 | Test: 1.5806e-03 | LR=9.8e-04
Epoch  12/100 | Steps:  12000 | α=1e-05 | Loss: 3.3811e-05 | BC: 3.1635e-05 | PDE: 2.1765e-01 | Val: 8.6685e-06 | Test: 1.4692e-03 | LR=9.7e-04 *
Epoch  13/100 | Steps:  13000 | α=1e-05 | Loss: 3.5331e-05 | BC: 3.3245e-05 | PDE: 2.0863e-01 | Val: 9.5000e-06 | Test: 1.3616e-03 | LR=9.7e-04
Epoch  14/100 | Steps:  14000 | α=1e-05 | Loss: 2.9749e-05 | BC: 2.7766e-05 | PDE: 1.9824e-01 | Val: 1.6603e-05 | Test: 1.3868e-03 | LR=9.6e-04
