
============================================================
p-Laplacian Aronsson Example
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: PLaplacianPINN on Square [-1,1]²
  Hidden layers: [128, 128, 128, 128], activation: tanh
  η=0.0, clip_residual=100.0, clip_grad_norm=1.0
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 2.3057e-02 | BC: 2.2275e-02 | PDE: 7.8237e+01 | Val: 3.3380e-04 | Test: 5.3960e-04 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 4.1366e-04 | BC: 3.2143e-04 | PDE: 9.2235e+00 | Val: 2.2583e-04 | Test: 4.1688e-04 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 3.4552e-04 | BC: 2.8821e-04 | PDE: 5.7305e+00 | Val: 1.4119e-04 | Test: 3.3207e-04 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 2.6922e-04 | BC: 2.2663e-04 | PDE: 4.2588e+00 | Val: 1.1748e-04 | Test: 2.5809e-04 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 2.3161e-04 | BC: 2.0292e-04 | PDE: 2.8689e+00 | Val: 1.4742e-04 | Test: 2.6170e-04 | LR=1.0e-03
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 1.9171e-04 | BC: 1.7096e-04 | PDE: 2.0750e+00 | Val: 3.1633e-05 | Test: 1.4864e-04 | LR=9.9e-04 *
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 1.6471e-04 | BC: 1.4744e-04 | PDE: 1.7271e+00 | Val: 2.1044e-05 | Test: 1.4662e-04 | LR=9.9e-04 *
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 1.4865e-04 | BC: 1.3368e-04 | PDE: 1.4972e+00 | Val: 1.2711e-04 | Test: 2.5358e-04 | LR=9.9e-04
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 1.5511e-04 | BC: 1.4210e-04 | PDE: 1.3015e+00 | Val: 2.9767e-04 | Test: 3.2232e-04 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 1.0755e-04 | BC: 9.6700e-05 | PDE: 1.0847e+00 | Val: 4.9312e-05 | Test: 1.4256e-04 | LR=9.8e-04
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 1.3017e-04 | BC: 1.2049e-04 | PDE: 9.6785e-01 | Val: 3.4245e-04 | Test: 3.3726e-04 | LR=9.8e-04
