
============================================================
Eikonal Equation |∇u|² = 1 (2D)
Case: origin | Domain: square
============================================================

  Interior: 1,000,000  |  Test: 10,000
  Boundary points: 1,100
  Re-sampling enabled: ~1,000,000 interior points per epoch
  BC re-sampling enabled: origin case with radius=0.1

  Splitting: 80% train, 20% val
  BC: 880 train, 220 val
  Interior: 800,000 train, 200,000 val

Model: EikonalPINN (input_dim=2)
  Hidden layers: [128, 128, 128, 128], activation: tanh
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Positivity weight: 1.0
  Parameters: 50,049

Training configuration:
  Boundary points (train): 880 -> 3 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 220
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e+00 | Loss: 2.0860e-02 | BC: 3.5232e-03 | PDE: 1.7336e-02 | Val: 8.7794e-04 | Test: 8.6922e-02 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e+00 | Loss: 1.8761e-03 | BC: 8.2094e-04 | PDE: 1.0551e-03 | Val: 5.7997e-04 | Test: 7.7732e-02 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e+00 | Loss: 1.0498e-03 | BC: 5.6156e-04 | PDE: 4.8825e-04 | Val: 5.5160e-04 | Test: 8.1530e-02 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e+00 | Loss: 8.8767e-04 | BC: 5.1200e-04 | PDE: 3.7566e-04 | Val: 4.1874e-04 | Test: 8.1626e-02 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | α=1e+00 | Loss: 7.0442e-04 | BC: 4.1596e-04 | PDE: 2.8846e-04 | Val: 4.4651e-04 | Test: 6.1796e-02 | LR=1.0e-03
Epoch   6/100 | Steps:   6000 | α=1e+00 | Loss: 5.4541e-04 | BC: 3.1010e-04 | PDE: 2.3532e-04 | Val: 2.1247e-04 | Test: 5.2758e-02 | LR=9.9e-04 *
Epoch   7/100 | Steps:   7000 | α=1e+00 | Loss: 4.6428e-04 | BC: 2.0901e-04 | PDE: 2.5526e-04 | Val: 1.3222e-04 | Test: 4.8627e-02 | LR=9.9e-04 *
Epoch   8/100 | Steps:   8000 | α=1e+00 | Loss: 3.9895e-04 | BC: 1.4078e-04 | PDE: 2.5817e-04 | Val: 1.1011e-04 | Test: 4.6509e-02 | LR=9.9e-04 *
Epoch   9/100 | Steps:   9000 | α=1e+00 | Loss: 3.1683e-04 | BC: 9.2515e-05 | PDE: 2.2432e-04 | Val: 5.0711e-05 | Test: 4.0438e-02 | LR=9.8e-04 *
Epoch  10/100 | Steps:  10000 | α=1e+00 | Loss: 2.4667e-04 | BC: 7.2336e-05 | PDE: 1.7434e-04 | Val: 5.5715e-05 | Test: 3.3924e-02 | LR=9.8e-04
Epoch  11/100 | Steps:  11000 | α=1e+00 | Loss: 2.1407e-04 | BC: 5.6957e-05 | PDE: 1.5711e-04 | Val: 2.5512e-05 | Test: 3.0411e-02 | LR=9.8e-04 *
