
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: FixedAlphaSchedule
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 1.8933e-02 | BC: 1.8893e-02 | PDE: 3.9733e+00 | Val: 4.6704e-04 | Test: 5.9557e-02 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 3.7309e-04 | BC: 3.2410e-04 | PDE: 4.8985e+00 | Val: 1.3118e-04 | Test: 2.5729e-02 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 2.4947e-04 | BC: 2.2241e-04 | PDE: 2.7058e+00 | Val: 2.8367e-04 | Test: 6.2507e-03 | LR=1.0e-03
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 1.9149e-04 | BC: 1.7138e-04 | PDE: 2.0115e+00 | Val: 5.4276e-05 | Test: 3.2918e-03 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 1.7454e-04 | BC: 1.5740e-04 | PDE: 1.7144e+00 | Val: 2.9486e-04 | Test: 2.7862e-03 | LR=1.0e-03
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 1.4374e-04 | BC: 1.2852e-04 | PDE: 1.5222e+00 | Val: 4.8104e-05 | Test: 2.9127e-03 | LR=9.9e-04 *
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 1.4532e-04 | BC: 1.3097e-04 | PDE: 1.4355e+00 | Val: 1.5750e-04 | Test: 2.3431e-03 | LR=9.9e-04
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 1.2291e-04 | BC: 1.1004e-04 | PDE: 1.2866e+00 | Val: 1.8431e-04 | Test: 3.2120e-03 | LR=9.9e-04
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 1.1786e-04 | BC: 1.0634e-04 | PDE: 1.1517e+00 | Val: 9.2207e-05 | Test: 3.0804e-03 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 9.9114e-05 | BC: 8.8438e-05 | PDE: 1.0676e+00 | Val: 3.5448e-05 | Test: 2.2472e-03 | LR=9.8e-04 *
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 1.0381e-04 | BC: 9.4106e-05 | PDE: 9.7032e-01 | Val: 7.2058e-05 | Test: 2.0788e-03 | LR=9.8e-04
Epoch  12/100 | Steps:  12000 | α=1e-05 | Loss: 8.1778e-05 | BC: 7.3247e-05 | PDE: 8.5307e-01 | Val: 2.1358e-05 | Test: 1.4869e-03 | LR=9.7e-04 *
Epoch  13/100 | Steps:  13000 | α=1e-05 | Loss: 8.6543e-05 | BC: 7.9040e-05 | PDE: 7.5025e-01 | Val: 1.7876e-05 | Test: 1.5350e-03 | LR=9.7e-04 *
Epoch  14/100 | Steps:  14000 | α=1e-05 | Loss: 7.0602e-05 | BC: 6.3925e-05 | PDE: 6.6774e-01 | Val: 5.1777e-05 | Test: 1.4574e-03 | LR=9.6e-04
Epoch  15/100 | Steps:  15000 | α=1e-05 | Loss: 5.9289e-05 | BC: 5.3334e-05 | PDE: 5.9551e-01 | Val: 4.9579e-05 | Test: 1.2832e-03 | LR=9.5e-04
Epoch  16/100 | Steps:  16000 | α=1e-05 | Loss: 6.7639e-05 | BC: 6.2207e-05 | PDE: 5.4316e-01 | Val: 3.4685e-05 | Test: 1.2383e-03 | LR=9.5e-04
Epoch  17/100 | Steps:  17000 | α=1e-05 | Loss: 6.1465e-05 | BC: 5.6369e-05 | PDE: 5.0961e-01 | Val: 1.4111e-05 | Test: 9.2252e-04 | LR=9.4e-04 *
Epoch  18/100 | Steps:  18000 | α=1e-05 | Loss: 5.0940e-05 | BC: 4.6293e-05 | PDE: 4.6462e-01 | Val: 3.3753e-05 | Test: 8.6560e-04 | LR=9.3e-04
Epoch  19/100 | Steps:  19000 | α=1e-05 | Loss: 5.0597e-05 | BC: 4.6137e-05 | PDE: 4.4608e-01 | Val: 1.7409e-05 | Test: 6.8755e-04 | LR=9.2e-04
Epoch  20/100 | Steps:  20000 | α=1e-05 | Loss: 4.6283e-05 | BC: 4.2010e-05 | PDE: 4.2728e-01 | Val: 1.2364e-05 | Test: 6.1690e-04 | LR=9.1e-04 *
Epoch  21/100 | Steps:  21000 | α=1e-05 | Loss: 4.7625e-05 | BC: 4.3635e-05 | PDE: 3.9902e-01 | Val: 5.7725e-05 | Test: 5.8314e-04 | LR=9.1e-04
Epoch  22/100 | Steps:  22000 | α=1e-05 | Loss: 4.3128e-05 | BC: 3.9322e-05 | PDE: 3.8062e-01 | Val: 7.7798e-06 | Test: 6.5883e-04 | LR=9.0e-04 *
Epoch  23/100 | Steps:  23000 | α=1e-05 | Loss: 4.3399e-05 | BC: 3.9876e-05 | PDE: 3.5230e-01 | Val: 1.0552e-05 | Test: 7.1067e-04 | LR=8.9e-04
Epoch  24/100 | Steps:  24000 | α=1e-05 | Loss: 3.7073e-05 | BC: 3.3717e-05 | PDE: 3.3564e-01 | Val: 3.7215e-05 | Test: 5.6507e-04 | LR=8.8e-04
Epoch  25/100 | Steps:  25000 | α=1e-05 | Loss: 3.8453e-05 | BC: 3.5161e-05 | PDE: 3.2926e-01 | Val: 1.3783e-05 | Test: 6.1210e-04 | LR=8.7e-04
Epoch  26/100 | Steps:  26000 | α=1e-05 | Loss: 3.3415e-05 | BC: 3.0426e-05 | PDE: 2.9891e-01 | Val: 3.5257e-05 | Test: 7.1951e-04 | LR=8.6e-04
Epoch  27/100 | Steps:  27000 | α=1e-05 | Loss: 3.4110e-05 | BC: 3.1183e-05 | PDE: 2.9272e-01 | Val: 1.0581e-05 | Test: 5.8894e-04 | LR=8.4e-04
Epoch  28/100 | Steps:  28000 | α=1e-05 | Loss: 3.2734e-05 | BC: 2.9875e-05 | PDE: 2.8590e-01 | Val: 4.4833e-05 | Test: 6.2528e-04 | LR=8.3e-04
Epoch  29/100 | Steps:  29000 | α=1e-05 | Loss: 2.9453e-05 | BC: 2.6701e-05 | PDE: 2.7525e-01 | Val: 3.8842e-06 | Test: 5.4544e-04 | LR=8.2e-04 *
Epoch  30/100 | Steps:  30000 | α=1e-05 | Loss: 2.9043e-05 | BC: 2.6444e-05 | PDE: 2.5986e-01 | Val: 5.5045e-05 | Test: 6.5265e-04 | LR=8.1e-04
Epoch  31/100 | Steps:  31000 | α=1e-05 | Loss: 2.8001e-05 | BC: 2.5483e-05 | PDE: 2.5175e-01 | Val: 9.0080e-06 | Test: 4.7816e-04 | LR=8.0e-04
Epoch  32/100 | Steps:  32000 | α=1e-05 | Loss: 2.4140e-05 | BC: 2.1807e-05 | PDE: 2.3329e-01 | Val: 2.9785e-06 | Test: 4.8503e-04 | LR=7.8e-04 *
Epoch  33/100 | Steps:  33000 | α=1e-05 | Loss: 2.5110e-05 | BC: 2.2714e-05 | PDE: 2.3967e-01 | Val: 8.7296e-06 | Test: 4.7002e-04 | LR=7.7e-04
Epoch  34/100 | Steps:  34000 | α=1e-05 | Loss: 2.5320e-05 | BC: 2.3159e-05 | PDE: 2.1607e-01 | Val: 1.2671e-04 | Test: 5.4561e-04 | LR=7.6e-04
Epoch  35/100 | Steps:  35000 | α=1e-05 | Loss: 2.0900e-05 | BC: 1.8757e-05 | PDE: 2.1433e-01 | Val: 4.6061e-06 | Test: 4.8200e-04 | LR=7.4e-04
Epoch  36/100 | Steps:  36000 | α=1e-05 | Loss: 2.1367e-05 | BC: 1.9354e-05 | PDE: 2.0138e-01 | Val: 5.2726e-05 | Test: 4.6454e-04 | LR=7.3e-04
Epoch  37/100 | Steps:  37000 | α=1e-05 | Loss: 1.8735e-05 | BC: 1.6799e-05 | PDE: 1.9358e-01 | Val: 4.7596e-05 | Test: 4.6392e-04 | LR=7.2e-04
Epoch  38/100 | Steps:  38000 | α=1e-05 | Loss: 1.9140e-05 | BC: 1.7280e-05 | PDE: 1.8593e-01 | Val: 3.1575e-05 | Test: 4.6904e-04 | LR=7.0e-04
Epoch  39/100 | Steps:  39000 | α=1e-05 | Loss: 1.7371e-05 | BC: 1.5639e-05 | PDE: 1.7329e-01 | Val: 8.0785e-06 | Test: 4.9588e-04 | LR=6.9e-04
Epoch  40/100 | Steps:  40000 | α=1e-05 | Loss: 3.2467e-05 | BC: 3.0425e-05 | PDE: 2.0427e-01 | Val: 1.3786e-06 | Test: 5.3818e-04 | LR=6.7e-04 *
Epoch  41/100 | Steps:  41000 | α=1e-05 | Loss: 1.1978e-05 | BC: 1.0462e-05 | PDE: 1.5157e-01 | Val: 2.8285e-06 | Test: 4.9145e-04 | LR=6.6e-04
Epoch  42/100 | Steps:  42000 | α=1e-05 | Loss: 1.4641e-05 | BC: 1.3130e-05 | PDE: 1.5120e-01 | Val: 1.7179e-06 | Test: 5.2014e-04 | LR=6.4e-04
Epoch  43/100 | Steps:  43000 | α=1e-05 | Loss: 1.3072e-05 | BC: 1.1657e-05 | PDE: 1.4154e-01 | Val: 1.8253e-06 | Test: 4.8368e-04 | LR=6.3e-04
Epoch  44/100 | Steps:  44000 | α=1e-05 | Loss: 1.5541e-05 | BC: 1.4180e-05 | PDE: 1.3609e-01 | Val: 6.0458e-06 | Test: 4.7517e-04 | LR=6.1e-04
Epoch  45/100 | Steps:  45000 | α=1e-05 | Loss: 1.0700e-05 | BC: 9.4318e-06 | PDE: 1.2683e-01 | Val: 1.8661e-06 | Test: 4.9962e-04 | LR=6.0e-04
Epoch  46/100 | Steps:  46000 | α=1e-05 | Loss: 1.4729e-05 | BC: 1.3500e-05 | PDE: 1.2296e-01 | Val: 4.7619e-06 | Test: 4.9321e-04 | LR=5.8e-04
Epoch  47/100 | Steps:  47000 | α=1e-05 | Loss: 1.2228e-05 | BC: 1.1075e-05 | PDE: 1.1525e-01 | Val: 1.1253e-06 | Test: 4.8760e-04 | LR=5.7e-04 *
Epoch  48/100 | Steps:  48000 | α=1e-05 | Loss: 9.6332e-06 | BC: 8.5529e-06 | PDE: 1.0804e-01 | Val: 2.9719e-06 | Test: 5.0856e-04 | LR=5.5e-04
Epoch  49/100 | Steps:  49000 | α=1e-05 | Loss: 1.0303e-05 | BC: 9.2719e-06 | PDE: 1.0313e-01 | Val: 8.0556e-06 | Test: 5.1965e-04 | LR=5.4e-04
