
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: DomainDecompositionPINN
  Hidden layers: [16, 16, 16, 16]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 3,524

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 7.5068e-03 | BC: 7.0700e-03 | PDE: 5.4389e-01 | Intf: 4.3140e-04 | Val: 5.1346e-05 | Test: 1.5265e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 1.5345e-04 | BC: 1.1566e-04 | PDE: 5.2238e-01 | Intf: 3.2572e-05 | Val: 4.5932e-05 | Test: 1.4641e-03 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 1.7274e-04 | BC: 1.2799e-04 | PDE: 4.9088e-01 | Intf: 3.9850e-05 | Val: 1.7396e-04 | Test: 1.4590e-03 | LR=1.0e-03
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 1.6396e-04 | BC: 1.1510e-04 | PDE: 4.6453e-01 | Intf: 4.4211e-05 | Val: 8.5180e-05 | Test: 1.3579e-03 | LR=1.0e-03
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 1.5402e-04 | BC: 1.0748e-04 | PDE: 4.3792e-01 | Intf: 4.2162e-05 | Val: 1.5423e-04 | Test: 1.3107e-03 | LR=1.0e-03
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 1.6874e-04 | BC: 1.1257e-04 | PDE: 4.1449e-01 | Intf: 5.2021e-05 | Val: 1.6943e-04 | Test: 1.2881e-03 | LR=9.9e-04
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 1.3164e-04 | BC: 8.6586e-05 | PDE: 3.9964e-01 | Intf: 4.1058e-05 | Val: 4.4709e-05 | Test: 1.1504e-03 | LR=9.9e-04 *
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 1.4345e-04 | BC: 1.0507e-04 | PDE: 3.8927e-01 | Intf: 3.4488e-05 | Val: 6.8786e-05 | Test: 1.1555e-03 | LR=9.9e-04
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 1.4695e-04 | BC: 1.0429e-04 | PDE: 3.8214e-01 | Intf: 3.8844e-05 | Val: 3.1662e-05 | Test: 1.1037e-03 | LR=9.8e-04 *
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 1.3023e-04 | BC: 8.4774e-05 | PDE: 3.7499e-01 | Intf: 4.1704e-05 | Val: 3.0291e-04 | Test: 1.2444e-03 | LR=9.8e-04
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 1.1984e-04 | BC: 8.4366e-05 | PDE: 3.6933e-01 | Intf: 3.1784e-05 | Val: 9.5217e-05 | Test: 1.1448e-03 | LR=9.8e-04

>>> Alpha increased: 1e-05 → 1e-04 (BC=8.8142e-05) <<<
Epoch  12/100 | Steps:  12000 | α=1e-04 | Loss: 1.3204e-04 | BC: 8.8142e-05 | PDE: 3.6417e-01 | Intf: 4.0259e-05 | Val: 3.1251e-05 | Test: 1.0564e-03 | LR=9.7e-04 *
Epoch  13/100 | Steps:  13000 | α=1e-04 | Loss: 1.3992e-04 | BC: 7.7464e-05 | PDE: 3.3211e-01 | Intf: 2.9249e-05 | Val: 4.3316e-05 | Test: 9.8391e-04 | LR=9.7e-04
Epoch  14/100 | Steps:  14000 | α=1e-04 | Loss: 1.4153e-04 | BC: 7.6575e-05 | PDE: 2.9941e-01 | Intf: 3.5016e-05 | Val: 3.3497e-05 | Test: 8.8927e-04 | LR=9.6e-04
Epoch  15/100 | Steps:  15000 | α=1e-04 | Loss: 1.3307e-04 | BC: 7.1669e-05 | PDE: 2.7620e-01 | Intf: 3.3782e-05 | Val: 4.2373e-05 | Test: 7.6657e-04 | LR=9.5e-04
Epoch  16/100 | Steps:  16000 | α=1e-04 | Loss: 1.3101e-04 | BC: 7.1494e-05 | PDE: 2.5988e-01 | Intf: 3.3531e-05 | Val: 2.2037e-04 | Test: 8.8194e-04 | LR=9.5e-04
Epoch  17/100 | Steps:  17000 | α=1e-04 | Loss: 1.2386e-04 | BC: 6.5950e-05 | PDE: 2.4622e-01 | Intf: 3.3285e-05 | Val: 2.5294e-05 | Test: 7.4393e-04 | LR=9.4e-04 *
Epoch  18/100 | Steps:  18000 | α=1e-04 | Loss: 1.1373e-04 | BC: 6.2660e-05 | PDE: 2.3339e-01 | Intf: 2.7730e-05 | Val: 1.0775e-04 | Test: 7.2909e-04 | LR=9.3e-04
Epoch  19/100 | Steps:  19000 | α=1e-04 | Loss: 1.1471e-04 | BC: 6.2527e-05 | PDE: 2.2437e-01 | Intf: 2.9751e-05 | Val: 1.9913e-05 | Test: 6.7400e-04 | LR=9.2e-04 *

>>> Alpha increased: 1e-04 → 1e-03 (BC=5.8199e-05) <<<
Epoch  20/100 | Steps:  20000 | α=1e-03 | Loss: 1.1065e-04 | BC: 5.8199e-05 | PDE: 2.1461e-01 | Intf: 3.0985e-05 | Val: 3.2360e-05 | Test: 6.1792e-04 | LR=9.1e-04 *
Epoch  21/100 | Steps:  21000 | α=1e-03 | Loss: 2.7457e-04 | BC: 8.9255e-05 | PDE: 1.4460e-01 | Intf: 4.0719e-05 | Val: 1.6210e-04 | Test: 5.6558e-04 | LR=9.1e-04
