
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: DomainDecompositionPINN
  Hidden layers: [32, 32, 32, 32, 32]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 17,412

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 2.9728e-03 | BC: 2.7024e-03 | PDE: 3.5158e-01 | Intf: 2.6694e-04 | Val: 7.5156e-04 | Test: 1.2728e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 3.8584e-04 | BC: 2.2212e-04 | PDE: 3.4168e-01 | Intf: 1.6031e-04 | Val: 1.1638e-04 | Test: 8.5270e-04 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 4.3296e-04 | BC: 2.6214e-04 | PDE: 3.3558e-01 | Intf: 1.6746e-04 | Val: 3.9247e-04 | Test: 1.0493e-03 | LR=1.0e-03
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 3.6980e-04 | BC: 2.2261e-04 | PDE: 3.4487e-01 | Intf: 1.4375e-04 | Val: 1.6646e-04 | Test: 9.0196e-04 | LR=1.0e-03
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 3.7279e-04 | BC: 2.2746e-04 | PDE: 3.5258e-01 | Intf: 1.4180e-04 | Val: 2.1835e-04 | Test: 9.1900e-04 | LR=1.0e-03
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 3.3490e-04 | BC: 1.8686e-04 | PDE: 3.5743e-01 | Intf: 1.4446e-04 | Val: 8.7567e-05 | Test: 8.9599e-04 | LR=9.9e-04 *
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 2.7052e-04 | BC: 1.5215e-04 | PDE: 3.5655e-01 | Intf: 1.1480e-04 | Val: 2.9193e-04 | Test: 1.0622e-03 | LR=9.9e-04
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 5.0852e-04 | BC: 2.6026e-04 | PDE: 3.6514e-01 | Intf: 2.4460e-04 | Val: 2.9387e-03 | Test: 2.3752e-03 | LR=9.9e-04
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 1.6103e-04 | BC: 1.1279e-04 | PDE: 3.7299e-01 | Intf: 4.4511e-05 | Val: 6.5176e-05 | Test: 9.2376e-04 | LR=9.8e-04 *
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 2.4416e-04 | BC: 1.4847e-04 | PDE: 3.6994e-01 | Intf: 9.1991e-05 | Val: 9.3621e-05 | Test: 9.3081e-04 | LR=9.8e-04
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 2.4726e-04 | BC: 1.4915e-04 | PDE: 3.7745e-01 | Intf: 9.4335e-05 | Val: 1.8052e-04 | Test: 1.0275e-03 | LR=9.8e-04
