
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: DomainDecompositionPINN
  Hidden layers: [32, 32, 32, 32]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 13,188

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: None (constant LR=1.0e-03)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 3.6279e-03 | BC: 3.4175e-03 | PDE: 2.3243e-01 | Intf: 2.0801e-04 | Val: 9.9135e-04 | Test: 1.7139e-03 |  *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 2.9454e-04 | BC: 1.8208e-04 | PDE: 2.4199e-01 | Intf: 1.1004e-04 | Val: 7.1424e-04 | Test: 1.2604e-03 |  *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 2.6317e-04 | BC: 1.6044e-04 | PDE: 2.3918e-01 | Intf: 1.0034e-04 | Val: 7.4812e-05 | Test: 6.4939e-04 |  *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 2.1867e-04 | BC: 1.2023e-04 | PDE: 2.3742e-01 | Intf: 9.6062e-05 | Val: 2.8430e-05 | Test: 6.5280e-04 |  *
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 2.1091e-04 | BC: 1.0945e-04 | PDE: 2.3631e-01 | Intf: 9.9094e-05 | Val: 9.1004e-05 | Test: 7.1303e-04 | 
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 1.8646e-04 | BC: 1.0552e-04 | PDE: 2.3648e-01 | Intf: 7.8584e-05 | Val: 2.4782e-05 | Test: 6.3033e-04 |  *
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 1.9104e-04 | BC: 1.1486e-04 | PDE: 2.3931e-01 | Intf: 7.3790e-05 | Val: 1.5024e-04 | Test: 6.4806e-04 | 
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 1.9340e-04 | BC: 1.1575e-04 | PDE: 2.4347e-01 | Intf: 7.5216e-05 | Val: 1.5249e-04 | Test: 7.4967e-04 | 
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 1.6508e-04 | BC: 9.5427e-05 | PDE: 2.4669e-01 | Intf: 6.7189e-05 | Val: 8.7374e-05 | Test: 6.8985e-04 | 
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 1.7221e-04 | BC: 1.0136e-04 | PDE: 2.4774e-01 | Intf: 6.8372e-05 | Val: 7.5559e-05 | Test: 6.6585e-04 | 
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 1.5699e-04 | BC: 9.2753e-05 | PDE: 2.5091e-01 | Intf: 6.1729e-05 | Val: 6.3053e-05 | Test: 7.0206e-04 | 
Epoch  12/100 | Steps:  12000 | α=1e-05 | Loss: 1.8271e-04 | BC: 1.0768e-04 | PDE: 2.5191e-01 | Intf: 7.2517e-05 | Val: 5.8435e-05 | Test: 6.4804e-04 | 
Epoch  13/100 | Steps:  13000 | α=1e-05 | Loss: 1.2528e-04 | BC: 7.2195e-05 | PDE: 2.5247e-01 | Intf: 5.0564e-05 | Val: 4.1208e-05 | Test: 6.8636e-04 | 
Epoch  14/100 | Steps:  14000 | α=1e-05 | Loss: 1.5650e-04 | BC: 9.9224e-05 | PDE: 2.5668e-01 | Intf: 5.4713e-05 | Val: 4.0905e-05 | Test: 6.8886e-04 | 
Epoch  15/100 | Steps:  15000 | α=1e-05 | Loss: 1.2959e-04 | BC: 7.6224e-05 | PDE: 2.5592e-01 | Intf: 5.0805e-05 | Val: 1.6138e-04 | Test: 7.8030e-04 | 
Epoch  16/100 | Steps:  16000 | α=1e-05 | Loss: 1.5644e-04 | BC: 8.8541e-05 | PDE: 2.5882e-01 | Intf: 6.5315e-05 | Val: 1.7990e-05 | Test: 6.6318e-04 |  *
Epoch  17/100 | Steps:  17000 | α=1e-05 | Loss: 1.2846e-04 | BC: 7.9034e-05 | PDE: 2.5696e-01 | Intf: 4.6861e-05 | Val: 7.7160e-05 | Test: 7.0931e-04 | 

>>> Alpha increased: 1e-05 → 1e-04 (BC=6.9498e-05) <<<
Epoch  18/100 | Steps:  18000 | α=1e-04 | Loss: 1.1237e-04 | BC: 6.9498e-05 | PDE: 2.5696e-01 | Intf: 4.0298e-05 | Val: 3.4241e-04 | Test: 8.6927e-04 |  *
Epoch  19/100 | Steps:  19000 | α=1e-04 | Loss: 2.2063e-04 | BC: 1.0423e-04 | PDE: 2.5189e-01 | Intf: 9.1206e-05 | Val: 1.8937e-05 | Test: 6.4808e-04 |  *
Epoch  20/100 | Steps:  20000 | α=1e-04 | Loss: 1.1403e-04 | BC: 6.6284e-05 | PDE: 2.2963e-01 | Intf: 2.4781e-05 | Val: 1.9992e-05 | Test: 6.2901e-04 | 
Epoch  21/100 | Steps:  21000 | α=1e-04 | Loss: 1.4919e-04 | BC: 7.7287e-05 | PDE: 2.2487e-01 | Intf: 4.9413e-05 | Val: 3.8035e-05 | Test: 6.1244e-04 | 
Epoch  22/100 | Steps:  22000 | α=1e-04 | Loss: 2.0983e-04 | BC: 1.0279e-04 | PDE: 2.2126e-01 | Intf: 8.4910e-05 | Val: 1.3307e-05 | Test: 5.8890e-04 |  *
Epoch  23/100 | Steps:  23000 | α=1e-04 | Loss: 9.3596e-05 | BC: 5.3270e-05 | PDE: 2.0597e-01 | Intf: 1.9730e-05 | Val: 3.0327e-05 | Test: 5.4537e-04 | 
Epoch  24/100 | Steps:  24000 | α=1e-04 | Loss: 1.4025e-04 | BC: 7.2896e-05 | PDE: 2.0487e-01 | Intf: 4.6870e-05 | Val: 1.3078e-05 | Test: 5.3798e-04 |  *
Epoch  25/100 | Steps:  25000 | α=1e-04 | Loss: 1.2256e-04 | BC: 6.5690e-05 | PDE: 1.9875e-01 | Intf: 3.6996e-05 | Val: 1.2296e-04 | Test: 5.6183e-04 | 
Epoch  26/100 | Steps:  26000 | α=1e-04 | Loss: 3.0365e-04 | BC: 1.6982e-04 | PDE: 2.0854e-01 | Intf: 1.1298e-04 | Val: 1.4083e-05 | Test: 5.1317e-04 | 
Epoch  27/100 | Steps:  27000 | α=1e-04 | Loss: 1.4416e-04 | BC: 8.8294e-05 | PDE: 2.0324e-01 | Intf: 3.5539e-05 | Val: 6.9336e-05 | Test: 5.5855e-04 | 

>>> Alpha increased: 1e-04 → 1e-03 (BC=8.8155e-05) <<<
Epoch  28/100 | Steps:  28000 | α=1e-03 | Loss: 1.5436e-04 | BC: 8.8155e-05 | PDE: 2.0421e-01 | Intf: 4.5787e-05 | Val: 1.3215e-04 | Test: 6.1843e-04 |  *
Epoch  29/100 | Steps:  29000 | α=1e-03 | Loss: 2.8083e-04 | BC: 7.2083e-05 | PDE: 1.5567e-01 | Intf: 5.3082e-05 | Val: 1.7158e-05 | Test: 3.9779e-04 |  *
Epoch  30/100 | Steps:  30000 | α=1e-03 | Loss: 2.4154e-04 | BC: 8.1793e-05 | PDE: 1.1730e-01 | Intf: 4.2455e-05 | Val: 2.4311e-04 | Test: 4.4190e-04 | 
