
============================================================
Running Example: arctan
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 1.2700e-02 | BC: 1.2352e-02 | PDE: 3.4755e+01 | Val: 2.7222e-04 | Test: 3.0921e-04 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 2.3905e-04 | BC: 2.2548e-04 | PDE: 1.3570e+00 | Val: 9.0702e-05 | Test: 4.0038e-04 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 1.2886e-04 | BC: 1.2449e-04 | PDE: 4.3650e-01 | Val: 8.0357e-05 | Test: 5.9241e-05 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 9.1690e-05 | BC: 8.8959e-05 | PDE: 2.7307e-01 | Val: 4.0861e-05 | Test: 2.8256e-05 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 7.2733e-05 | BC: 7.0924e-05 | PDE: 1.8088e-01 | Val: 6.4023e-06 | Test: 2.5753e-05 | LR=1.0e-03 *
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 6.1931e-05 | BC: 6.0783e-05 | PDE: 1.1481e-01 | Val: 1.2210e-05 | Test: 3.1382e-05 | LR=9.9e-04
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 5.1316e-05 | BC: 5.0552e-05 | PDE: 7.6402e-02 | Val: 1.1787e-04 | Test: 1.2247e-04 | LR=9.9e-04
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 4.7733e-05 | BC: 4.7156e-05 | PDE: 5.7685e-02 | Val: 3.4347e-06 | Test: 5.2417e-06 | LR=9.9e-04 *
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 4.5134e-05 | BC: 4.4635e-05 | PDE: 4.9866e-02 | Val: 6.4945e-06 | Test: 3.7297e-06 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 3.7031e-05 | BC: 3.6691e-05 | PDE: 3.4044e-02 | Val: 6.2297e-04 | Test: 4.6275e-04 | LR=9.8e-04
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 3.5150e-05 | BC: 3.4740e-05 | PDE: 4.1012e-02 | Val: 1.7963e-05 | Test: 2.2380e-05 | LR=9.8e-04
