
============================================================
Running Example: arctan
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 17,025

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 3.7584e-02 | BC: 3.7485e-02 | PDE: 9.8454e+00 | Val: 3.2639e-03 | Test: 4.3600e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 2.1656e-03 | BC: 1.9794e-03 | PDE: 1.8614e+01 | Val: 1.1543e-03 | Test: 3.0664e-03 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 9.9095e-04 | BC: 8.4659e-04 | PDE: 1.4436e+01 | Val: 6.1240e-04 | Test: 1.5581e-03 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 5.5635e-04 | BC: 4.3965e-04 | PDE: 1.1670e+01 | Val: 2.7571e-04 | Test: 1.1755e-03 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 3.6378e-04 | BC: 2.5983e-04 | PDE: 1.0395e+01 | Val: 1.3155e-04 | Test: 7.5105e-04 | LR=1.0e-03 *
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 2.5210e-04 | BC: 1.6752e-04 | PDE: 8.4588e+00 | Val: 9.5519e-05 | Test: 7.1883e-04 | LR=9.9e-04 *
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 1.7594e-04 | BC: 1.0560e-04 | PDE: 7.0335e+00 | Val: 4.5910e-05 | Test: 3.8861e-04 | LR=9.9e-04 *
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 1.3913e-04 | BC: 7.9506e-05 | PDE: 5.9622e+00 | Val: 3.8510e-05 | Test: 3.2476e-04 | LR=9.9e-04 *
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 1.1381e-04 | BC: 6.0214e-05 | PDE: 5.3592e+00 | Val: 4.3250e-05 | Test: 2.8093e-04 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 9.7928e-05 | BC: 4.8456e-05 | PDE: 4.9472e+00 | Val: 5.4088e-05 | Test: 2.5883e-04 | LR=9.8e-04
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 8.5046e-05 | BC: 3.9264e-05 | PDE: 4.5782e+00 | Val: 1.2783e-05 | Test: 1.7051e-04 | LR=9.8e-04 *
Epoch  12/100 | Steps:  12000 | α=1e-05 | Loss: 7.4006e-05 | BC: 3.2132e-05 | PDE: 4.1875e+00 | Val: 1.2973e-05 | Test: 1.4017e-04 | LR=9.7e-04
Epoch  13/100 | Steps:  13000 | α=1e-05 | Loss: 6.8425e-05 | BC: 3.0080e-05 | PDE: 3.8345e+00 | Val: 7.6231e-05 | Test: 1.5630e-04 | LR=9.7e-04
Epoch  14/100 | Steps:  14000 | α=1e-05 | Loss: 5.4596e-05 | BC: 1.9813e-05 | PDE: 3.4783e+00 | Val: 4.6012e-06 | Test: 8.3696e-05 | LR=9.6e-04 *
Epoch  15/100 | Steps:  15000 | α=1e-05 | Loss: 4.8976e-05 | BC: 1.9554e-05 | PDE: 2.9422e+00 | Val: 5.6689e-05 | Test: 1.1531e-04 | LR=9.5e-04
Epoch  16/100 | Steps:  16000 | α=1e-05 | Loss: 4.6954e-05 | BC: 2.0701e-05 | PDE: 2.6254e+00 | Val: 4.1870e-06 | Test: 6.0502e-05 | LR=9.5e-04 *
Epoch  17/100 | Steps:  17000 | α=1e-05 | Loss: 3.6465e-05 | BC: 1.4311e-05 | PDE: 2.2154e+00 | Val: 3.4141e-06 | Test: 5.0822e-05 | LR=9.4e-04 *
Epoch  18/100 | Steps:  18000 | α=1e-05 | Loss: 3.3079e-05 | BC: 1.4003e-05 | PDE: 1.9076e+00 | Val: 1.7146e-05 | Test: 5.4064e-05 | LR=9.3e-04
Epoch  19/100 | Steps:  19000 | α=1e-05 | Loss: 3.1634e-05 | BC: 1.4065e-05 | PDE: 1.7569e+00 | Val: 3.8041e-05 | Test: 9.3315e-05 | LR=9.2e-04
Epoch  20/100 | Steps:  20000 | α=1e-05 | Loss: 2.6915e-05 | BC: 1.1277e-05 | PDE: 1.5638e+00 | Val: 4.7766e-06 | Test: 4.5836e-05 | LR=9.1e-04
Epoch  21/100 | Steps:  21000 | α=1e-05 | Loss: 2.4100e-05 | BC: 1.0773e-05 | PDE: 1.3327e+00 | Val: 2.1078e-06 | Test: 3.8415e-05 | LR=9.1e-04 *
Epoch  22/100 | Steps:  22000 | α=1e-05 | Loss: 2.2689e-05 | BC: 1.1292e-05 | PDE: 1.1396e+00 | Val: 4.4292e-05 | Test: 7.7627e-05 | LR=9.0e-04
Epoch  23/100 | Steps:  23000 | α=1e-05 | Loss: 1.9641e-05 | BC: 9.6194e-06 | PDE: 1.0021e+00 | Val: 1.7562e-06 | Test: 3.1767e-05 | LR=8.9e-04 *
Epoch  24/100 | Steps:  24000 | α=1e-05 | Loss: 1.7423e-05 | BC: 8.6288e-06 | PDE: 8.7944e-01 | Val: 1.4969e-05 | Test: 5.6873e-05 | LR=8.8e-04
Epoch  25/100 | Steps:  25000 | α=1e-05 | Loss: 1.5266e-05 | BC: 7.6325e-06 | PDE: 7.6331e-01 | Val: 6.3703e-06 | Test: 2.8244e-05 | LR=8.7e-04
Epoch  26/100 | Steps:  26000 | α=1e-05 | Loss: 1.5265e-05 | BC: 8.9104e-06 | PDE: 6.3542e-01 | Val: 9.1348e-07 | Test: 2.7948e-05 | LR=8.6e-04 *
Epoch  27/100 | Steps:  27000 | α=1e-05 | Loss: 1.2534e-05 | BC: 7.0415e-06 | PDE: 5.4923e-01 | Val: 8.1149e-07 | Test: 2.6622e-05 | LR=8.4e-04 *
Epoch  28/100 | Steps:  28000 | α=1e-05 | Loss: 1.5059e-05 | BC: 9.0381e-06 | PDE: 6.0213e-01 | Val: 1.5351e-06 | Test: 2.4946e-05 | LR=8.3e-04
Epoch  29/100 | Steps:  29000 | α=1e-05 | Loss: 1.0994e-05 | BC: 5.5153e-06 | PDE: 5.4784e-01 | Val: 2.5143e-06 | Test: 2.6549e-05 | LR=8.2e-04
Epoch  30/100 | Steps:  30000 | α=1e-05 | Loss: 1.0970e-05 | BC: 6.0580e-06 | PDE: 4.9115e-01 | Val: 5.9120e-05 | Test: 7.7548e-05 | LR=8.1e-04
Epoch  31/100 | Steps:  31000 | α=1e-05 | Loss: 1.0917e-05 | BC: 6.4045e-06 | PDE: 4.5130e-01 | Val: 1.3878e-05 | Test: 2.6134e-05 | LR=8.0e-04
Epoch  32/100 | Steps:  32000 | α=1e-05 | Loss: 1.0394e-05 | BC: 5.6557e-06 | PDE: 4.7382e-01 | Val: 6.7052e-06 | Test: 3.1896e-05 | LR=7.8e-04
Epoch  33/100 | Steps:  33000 | α=1e-05 | Loss: 9.5395e-06 | BC: 5.4829e-06 | PDE: 4.0566e-01 | Val: 7.6578e-07 | Test: 2.0685e-05 | LR=7.7e-04 *

>>> Alpha increased: 1e-05 → 1e-04 (BC=7.1831e-06) <<<
Epoch  34/100 | Steps:  34000 | α=1e-04 | Loss: 1.0744e-05 | BC: 7.1831e-06 | PDE: 3.5607e-01 | Val: 7.8427e-07 | Test: 2.0987e-05 | LR=7.6e-04 *
Epoch  35/100 | Steps:  35000 | α=1e-04 | Loss: 3.3364e-05 | BC: 8.2636e-06 | PDE: 2.5101e-01 | Val: 5.3131e-06 | Test: 3.1586e-05 | LR=7.4e-04
Epoch  36/100 | Steps:  36000 | α=1e-04 | Loss: 2.7704e-05 | BC: 6.5923e-06 | PDE: 2.1111e-01 | Val: 7.4194e-06 | Test: 3.6184e-05 | LR=7.3e-04
Epoch  37/100 | Steps:  37000 | α=1e-04 | Loss: 2.7354e-05 | BC: 7.7729e-06 | PDE: 1.9581e-01 | Val: 2.9122e-06 | Test: 3.6069e-05 | LR=7.2e-04
Epoch  38/100 | Steps:  38000 | α=1e-04 | Loss: 1.8405e-05 | BC: 5.9255e-06 | PDE: 1.2480e-01 | Val: 9.9994e-06 | Test: 4.6588e-05 | LR=7.0e-04
Epoch  39/100 | Steps:  39000 | α=1e-04 | Loss: 1.4688e-05 | BC: 5.2785e-06 | PDE: 9.4091e-02 | Val: 6.4431e-06 | Test: 4.2766e-05 | LR=6.9e-04
Epoch  40/100 | Steps:  40000 | α=1e-04 | Loss: 2.3219e-05 | BC: 1.2812e-05 | PDE: 1.0407e-01 | Val: 1.5091e-06 | Test: 5.1160e-05 | LR=6.7e-04
Epoch  41/100 | Steps:  41000 | α=1e-04 | Loss: 9.9163e-06 | BC: 2.9637e-06 | PDE: 6.9526e-02 | Val: 6.0869e-06 | Test: 6.7887e-05 | LR=6.6e-04
Epoch  42/100 | Steps:  42000 | α=1e-04 | Loss: 9.6233e-06 | BC: 4.4401e-06 | PDE: 5.1832e-02 | Val: 2.8829e-06 | Test: 7.5454e-05 | LR=6.4e-04
Epoch  43/100 | Steps:  43000 | α=1e-04 | Loss: 9.5618e-06 | BC: 3.8778e-06 | PDE: 5.6840e-02 | Val: 1.0804e-05 | Test: 8.2300e-05 | LR=6.3e-04
