
============================================================
Running Example: arctan
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 33,537

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 1.7562e-02 | BC: 1.7436e-02 | PDE: 1.2586e+01 | Val: 7.0079e-04 | Test: 4.9232e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 6.3282e-04 | BC: 5.4967e-04 | PDE: 8.3146e+00 | Val: 2.5299e-04 | Test: 1.6955e-03 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 2.9628e-04 | BC: 2.4062e-04 | PDE: 5.5664e+00 | Val: 9.1887e-05 | Test: 9.9517e-04 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 1.8550e-04 | BC: 1.4550e-04 | PDE: 4.0003e+00 | Val: 3.8192e-05 | Test: 6.0696e-04 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 1.1797e-04 | BC: 8.9831e-05 | PDE: 2.8136e+00 | Val: 8.8942e-05 | Test: 4.0118e-04 | LR=1.0e-03
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 9.2273e-05 | BC: 7.4551e-05 | PDE: 1.7722e+00 | Val: 2.1983e-05 | Test: 3.2848e-04 | LR=9.9e-04 *
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 6.6569e-05 | BC: 5.6717e-05 | PDE: 9.8519e-01 | Val: 2.9719e-05 | Test: 2.6648e-04 | LR=9.9e-04
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 4.9210e-05 | BC: 4.3377e-05 | PDE: 5.8330e-01 | Val: 2.6018e-05 | Test: 2.3829e-04 | LR=9.9e-04
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 4.3584e-05 | BC: 4.0056e-05 | PDE: 3.5280e-01 | Val: 1.1500e-04 | Test: 2.1807e-04 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 4.4072e-05 | BC: 4.2062e-05 | PDE: 2.0100e-01 | Val: 2.6951e-06 | Test: 1.9169e-04 | LR=9.8e-04 *
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 2.6768e-05 | BC: 2.5259e-05 | PDE: 1.5081e-01 | Val: 1.9599e-05 | Test: 1.8681e-04 | LR=9.8e-04
