
============================================================
Running Example: arctan
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 1.2473e-02 | BC: 1.2374e-02 | PDE: 9.9272e+00 | Val: 2.9856e-04 | Test: 4.0784e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 3.7362e-04 | BC: 3.1701e-04 | PDE: 5.6606e+00 | Val: 5.3649e-04 | Test: 6.2323e-04 | LR=1.0e-03
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 1.6116e-04 | BC: 1.3764e-04 | PDE: 2.3520e+00 | Val: 9.8184e-05 | Test: 1.6133e-04 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 9.8686e-05 | BC: 9.0129e-05 | PDE: 8.5572e-01 | Val: 8.4334e-05 | Test: 2.2727e-04 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 7.5648e-05 | BC: 7.1845e-05 | PDE: 3.8030e-01 | Val: 1.7963e-05 | Test: 4.8901e-05 | LR=1.0e-03 *
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 5.8593e-05 | BC: 5.6907e-05 | PDE: 1.6857e-01 | Val: 4.7179e-05 | Test: 2.8994e-05 | LR=9.9e-04
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 5.4456e-05 | BC: 5.3537e-05 | PDE: 9.1880e-02 | Val: 2.0059e-05 | Test: 2.5947e-05 | LR=9.9e-04
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 4.1048e-05 | BC: 4.0469e-05 | PDE: 5.7974e-02 | Val: 5.2739e-06 | Test: 1.5957e-05 | LR=9.9e-04 *
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 3.8414e-05 | BC: 3.7966e-05 | PDE: 4.4880e-02 | Val: 2.0742e-04 | Test: 1.0806e-04 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 5.0951e-05 | BC: 5.0346e-05 | PDE: 6.0500e-02 | Val: 4.9662e-05 | Test: 6.0481e-05 | LR=9.8e-04
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 2.6263e-05 | BC: 2.5857e-05 | PDE: 4.0648e-02 | Val: 1.1406e-04 | Test: 9.9154e-05 | LR=9.8e-04
Epoch  12/100 | Steps:  12000 | α=1e-05 | Loss: 2.8093e-05 | BC: 2.7702e-05 | PDE: 3.9117e-02 | Val: 4.1932e-05 | Test: 3.5370e-05 | LR=9.7e-04
Epoch  13/100 | Steps:  13000 | α=1e-05 | Loss: 3.0318e-05 | BC: 2.9812e-05 | PDE: 5.0590e-02 | Val: 2.5350e-07 | Test: 1.5690e-06 | LR=9.7e-04 *
Epoch  14/100 | Steps:  14000 | α=1e-05 | Loss: 3.0008e-05 | BC: 2.9461e-05 | PDE: 5.4637e-02 | Val: 1.4170e-06 | Test: 1.3946e-06 | LR=9.6e-04
Epoch  15/100 | Steps:  15000 | α=1e-05 | Loss: 2.4943e-05 | BC: 2.4427e-05 | PDE: 5.1610e-02 | Val: 5.9274e-07 | Test: 1.6063e-06 | LR=9.5e-04

>>> Alpha increased: 1e-05 → 1e-04 (BC=2.2330e-05) <<<
Epoch  16/100 | Steps:  16000 | α=1e-04 | Loss: 2.2787e-05 | BC: 2.2330e-05 | PDE: 4.5667e-02 | Val: 3.9741e-06 | Test: 4.9299e-06 | LR=9.5e-04 *
Epoch  17/100 | Steps:  17000 | α=1e-04 | Loss: 2.4374e-05 | BC: 2.2155e-05 | PDE: 2.2188e-02 | Val: 3.6090e-06 | Test: 4.4201e-06 | LR=9.4e-04 *
Epoch  18/100 | Steps:  18000 | α=1e-04 | Loss: 1.2363e-04 | BC: 1.1538e-04 | PDE: 8.2437e-02 | Val: 4.1202e-05 | Test: 3.5162e-05 | LR=9.3e-04
Epoch  19/100 | Steps:  19000 | α=1e-04 | Loss: 1.2679e-06 | BC: 5.5458e-07 | PDE: 7.1335e-03 | Val: 6.6649e-08 | Test: 4.9988e-07 | LR=9.2e-04 *
Epoch  20/100 | Steps:  20000 | α=1e-04 | Loss: 1.0117e-05 | BC: 9.2197e-06 | PDE: 8.9730e-03 | Val: 3.0322e-07 | Test: 5.1938e-07 | LR=9.1e-04
