
============================================================
Running Example: arctan
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 1.2471e-02 | BC: 1.2372e-02 | PDE: 9.9352e+00 | Val: 3.1326e-04 | Test: 4.2209e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 3.7269e-04 | BC: 3.1596e-04 | PDE: 5.6725e+00 | Val: 5.7072e-04 | Test: 6.4365e-04 | LR=1.0e-03
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 1.6426e-04 | BC: 1.3469e-04 | PDE: 2.9564e+00 | Val: 9.4718e-05 | Test: 1.5261e-04 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 1.1741e-04 | BC: 9.6742e-05 | PDE: 2.0668e+00 | Val: 3.5644e-04 | Test: 2.7905e-04 | LR=1.0e-03
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 9.0068e-05 | BC: 7.4745e-05 | PDE: 1.5322e+00 | Val: 6.5260e-05 | Test: 1.0058e-04 | LR=1.0e-03 *
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 6.0646e-05 | BC: 4.8955e-05 | PDE: 1.1691e+00 | Val: 1.2492e-05 | Test: 1.1886e-05 | LR=9.9e-04 *
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 6.0897e-05 | BC: 5.1639e-05 | PDE: 9.2580e-01 | Val: 6.5141e-06 | Test: 1.4968e-05 | LR=9.9e-04 *
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 5.2223e-05 | BC: 4.4963e-05 | PDE: 7.2599e-01 | Val: 1.7175e-06 | Test: 7.4740e-06 | LR=9.9e-04 *
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 4.0796e-05 | BC: 3.5169e-05 | PDE: 5.6273e-01 | Val: 1.8396e-05 | Test: 7.9300e-06 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 3.9221e-05 | BC: 3.4661e-05 | PDE: 4.5602e-01 | Val: 5.2519e-04 | Test: 4.3240e-04 | LR=9.8e-04
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 3.8921e-05 | BC: 3.4938e-05 | PDE: 3.9834e-01 | Val: 8.5855e-07 | Test: 4.0854e-06 | LR=9.8e-04 *
Epoch  12/100 | Steps:  12000 | α=1e-05 | Loss: 2.9357e-05 | BC: 2.6281e-05 | PDE: 3.0759e-01 | Val: 8.5529e-05 | Test: 5.6494e-05 | LR=9.7e-04
Epoch  13/100 | Steps:  13000 | α=1e-05 | Loss: 2.9951e-05 | BC: 2.7096e-05 | PDE: 2.8554e-01 | Val: 2.6954e-06 | Test: 2.7448e-06 | LR=9.7e-04
Epoch  14/100 | Steps:  14000 | α=1e-05 | Loss: 2.7790e-05 | BC: 2.5190e-05 | PDE: 2.5998e-01 | Val: 6.4084e-07 | Test: 1.8414e-06 | LR=9.6e-04 *
Epoch  15/100 | Steps:  15000 | α=1e-05 | Loss: 2.2586e-05 | BC: 2.0448e-05 | PDE: 2.1372e-01 | Val: 9.2468e-06 | Test: 3.8613e-06 | LR=9.5e-04
Epoch  16/100 | Steps:  16000 | α=1e-05 | Loss: 2.3414e-05 | BC: 2.1285e-05 | PDE: 2.1286e-01 | Val: 1.8760e-06 | Test: 4.2124e-06 | LR=9.5e-04
Epoch  17/100 | Steps:  17000 | α=1e-05 | Loss: 2.2360e-05 | BC: 2.0130e-05 | PDE: 2.2299e-01 | Val: 9.5819e-05 | Test: 6.4898e-05 | LR=9.4e-04
Epoch  18/100 | Steps:  18000 | α=1e-05 | Loss: 2.4350e-05 | BC: 2.2283e-05 | PDE: 2.0668e-01 | Val: 3.1238e-05 | Test: 4.2761e-05 | LR=9.3e-04
Epoch  19/100 | Steps:  19000 | α=1e-05 | Loss: 1.8564e-05 | BC: 1.6474e-05 | PDE: 2.0899e-01 | Val: 7.9058e-05 | Test: 5.9355e-05 | LR=9.2e-04

>>> Alpha increased: 1e-05 → 1e-04 (BC=1.8637e-05) <<<
Epoch  20/100 | Steps:  20000 | α=1e-04 | Loss: 2.0857e-05 | BC: 1.8637e-05 | PDE: 2.2195e-01 | Val: 9.6254e-05 | Test: 1.0737e-04 | LR=9.1e-04 *
Epoch  21/100 | Steps:  21000 | α=1e-04 | Loss: 9.2488e-05 | BC: 4.6962e-05 | PDE: 4.5526e-01 | Val: 2.5438e-05 | Test: 2.6782e-05 | LR=9.1e-04 *
Epoch  22/100 | Steps:  22000 | α=1e-04 | Loss: 6.0039e-05 | BC: 2.8036e-05 | PDE: 3.2004e-01 | Val: 3.1774e-05 | Test: 4.0474e-05 | LR=9.0e-04
Epoch  23/100 | Steps:  23000 | α=1e-04 | Loss: 6.2971e-05 | BC: 3.1546e-05 | PDE: 3.1425e-01 | Val: 2.0930e-05 | Test: 1.3245e-05 | LR=8.9e-04 *
Epoch  24/100 | Steps:  24000 | α=1e-04 | Loss: 6.6326e-05 | BC: 3.6577e-05 | PDE: 2.9748e-01 | Val: 8.9219e-06 | Test: 3.0957e-06 | LR=8.8e-04 *
Epoch  25/100 | Steps:  25000 | α=1e-04 | Loss: 5.2406e-05 | BC: 2.5398e-05 | PDE: 2.7008e-01 | Val: 9.1921e-06 | Test: 6.9587e-06 | LR=8.7e-04
Epoch  26/100 | Steps:  26000 | α=1e-04 | Loss: 5.5875e-05 | BC: 2.8037e-05 | PDE: 2.7838e-01 | Val: 5.2321e-06 | Test: 4.6982e-06 | LR=8.6e-04 *
Epoch  27/100 | Steps:  27000 | α=1e-04 | Loss: 5.3363e-05 | BC: 2.8493e-05 | PDE: 2.4870e-01 | Val: 8.7070e-06 | Test: 7.2860e-06 | LR=8.4e-04

>>> Alpha increased: 1e-04 → 1e-03 (BC=4.5305e-05) <<<
Epoch  28/100 | Steps:  28000 | α=1e-03 | Loss: 7.0913e-05 | BC: 4.5305e-05 | PDE: 2.5608e-01 | Val: 3.4573e-05 | Test: 4.2403e-05 | LR=8.3e-04 *
Epoch  29/100 | Steps:  29000 | α=1e-03 | Loss: 7.5592e-04 | BC: 2.2871e-04 | PDE: 5.2721e-01 | Val: 4.2338e-05 | Test: 1.8531e-05 | LR=8.2e-04
Epoch  30/100 | Steps:  30000 | α=1e-03 | Loss: 4.6396e-04 | BC: 1.4026e-04 | PDE: 3.2371e-01 | Val: 1.1830e-04 | Test: 4.7941e-05 | LR=8.1e-04
Epoch  31/100 | Steps:  31000 | α=1e-03 | Loss: 3.8681e-04 | BC: 1.1780e-04 | PDE: 2.6902e-01 | Val: 7.4255e-05 | Test: 4.0452e-05 | LR=8.0e-04
Epoch  32/100 | Steps:  32000 | α=1e-03 | Loss: 3.9877e-04 | BC: 1.3503e-04 | PDE: 2.6374e-01 | Val: 1.3375e-05 | Test: 3.6821e-06 | LR=7.8e-04 *
Epoch  33/100 | Steps:  33000 | α=1e-03 | Loss: 3.6844e-04 | BC: 1.2453e-04 | PDE: 2.4391e-01 | Val: 7.5744e-05 | Test: 7.0914e-05 | LR=7.7e-04
Epoch  34/100 | Steps:  34000 | α=1e-03 | Loss: 3.6411e-04 | BC: 1.2456e-04 | PDE: 2.3956e-01 | Val: 2.4764e-05 | Test: 1.7799e-05 | LR=7.6e-04
Epoch  35/100 | Steps:  35000 | α=1e-03 | Loss: 3.8047e-04 | BC: 1.2772e-04 | PDE: 2.5275e-01 | Val: 4.2452e-04 | Test: 4.1062e-04 | LR=7.4e-04

>>> Alpha increased: 1e-03 → 1e-02 (BC=1.1517e-04) <<<
Epoch  36/100 | Steps:  36000 | α=1e-02 | Loss: 3.6533e-04 | BC: 1.1517e-04 | PDE: 2.5016e-01 | Val: 1.9371e-04 | Test: 1.6623e-04 | LR=7.3e-04 *
