
============================================================
Running Example: aronsson_square
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 2.2408e-02 | BC: 2.2362e-02 | PDE: 4.6041e+00 | Val: 2.6852e-04 | Test: 3.2447e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 3.8066e-04 | BC: 3.6098e-04 | PDE: 1.9679e+00 | Val: 1.2641e-04 | Test: 6.0999e-04 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 2.5278e-04 | BC: 2.3884e-04 | PDE: 1.3941e+00 | Val: 7.3244e-05 | Test: 3.9204e-04 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 2.2292e-04 | BC: 2.0774e-04 | PDE: 1.5179e+00 | Val: 1.2361e-04 | Test: 5.1739e-04 | LR=1.0e-03
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 1.9356e-04 | BC: 1.7722e-04 | PDE: 1.6345e+00 | Val: 2.3904e-04 | Test: 5.2418e-04 | LR=1.0e-03
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 1.8913e-04 | BC: 1.7272e-04 | PDE: 1.6418e+00 | Val: 5.4051e-05 | Test: 3.3747e-04 | LR=9.9e-04 *
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 1.5631e-04 | BC: 1.4098e-04 | PDE: 1.5334e+00 | Val: 2.3403e-04 | Test: 3.6842e-04 | LR=9.9e-04
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 1.6417e-04 | BC: 1.5027e-04 | PDE: 1.3897e+00 | Val: 3.8950e-04 | Test: 5.1206e-04 | LR=9.9e-04
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 1.4228e-04 | BC: 1.3055e-04 | PDE: 1.1728e+00 | Val: 6.9908e-05 | Test: 2.6786e-04 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 1.0727e-04 | BC: 9.7604e-05 | PDE: 9.6682e-01 | Val: 5.3400e-05 | Test: 1.9895e-04 | LR=9.8e-04 *
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 1.0993e-04 | BC: 1.0166e-04 | PDE: 8.2773e-01 | Val: 1.2037e-04 | Test: 2.4364e-04 | LR=9.8e-04
