
============================================================
Running Example: aronsson_square
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [32, 32, 32, 32]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 3,297

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 2.6968e-02 | BC: 2.6934e-02 | PDE: 3.3358e+00 | Val: 2.9448e-04 | Test: 7.1731e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 3.3107e-04 | BC: 3.0067e-04 | PDE: 3.0406e+00 | Val: 2.7949e-04 | Test: 6.5960e-03 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 2.7169e-04 | BC: 2.4645e-04 | PDE: 2.5233e+00 | Val: 1.9769e-04 | Test: 6.2821e-03 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 1.7289e-04 | BC: 1.5249e-04 | PDE: 2.0401e+00 | Val: 1.1370e-04 | Test: 5.3728e-03 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 8.6437e-05 | BC: 7.0743e-05 | PDE: 1.5694e+00 | Val: 4.6791e-05 | Test: 4.9127e-03 | LR=1.0e-03 *
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 5.0451e-05 | BC: 3.9176e-05 | PDE: 1.1275e+00 | Val: 2.2232e-05 | Test: 3.5813e-03 | LR=9.9e-04 *
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 3.5209e-05 | BC: 2.7086e-05 | PDE: 8.1230e-01 | Val: 2.3197e-05 | Test: 2.5703e-03 | LR=9.9e-04
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 3.3241e-05 | BC: 2.7224e-05 | PDE: 6.0176e-01 | Val: 1.0444e-05 | Test: 1.6476e-03 | LR=9.9e-04 *
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 2.9582e-05 | BC: 2.4965e-05 | PDE: 4.6175e-01 | Val: 3.4483e-05 | Test: 1.0336e-03 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 2.7898e-05 | BC: 2.4208e-05 | PDE: 3.6894e-01 | Val: 1.2776e-05 | Test: 7.7769e-04 | LR=9.8e-04
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 2.6167e-05 | BC: 2.3123e-05 | PDE: 3.0440e-01 | Val: 1.0565e-05 | Test: 5.4033e-04 | LR=9.8e-04

>>> Alpha increased: 1e-05 → 1e-04 (BC=2.2092e-05) <<<
Epoch  12/100 | Steps:  12000 | α=1e-04 | Loss: 2.4710e-05 | BC: 2.2092e-05 | PDE: 2.6178e-01 | Val: 7.4464e-06 | Test: 3.7613e-04 | LR=9.7e-04 *
Epoch  13/100 | Steps:  13000 | α=1e-04 | Loss: 3.9827e-05 | BC: 2.4000e-05 | PDE: 1.5826e-01 | Val: 1.1726e-05 | Test: 1.0657e-04 | LR=9.7e-04
Epoch  14/100 | Steps:  14000 | α=1e-04 | Loss: 3.4002e-05 | BC: 2.3260e-05 | PDE: 1.0742e-01 | Val: 7.6659e-06 | Test: 6.9777e-05 | LR=9.6e-04
Epoch  15/100 | Steps:  15000 | α=1e-04 | Loss: 2.9716e-05 | BC: 2.0545e-05 | PDE: 9.1716e-02 | Val: 4.7901e-06 | Test: 5.7685e-05 | LR=9.5e-04 *
Epoch  16/100 | Steps:  16000 | α=1e-04 | Loss: 2.9448e-05 | BC: 2.1286e-05 | PDE: 8.1617e-02 | Val: 3.3680e-05 | Test: 8.8289e-05 | LR=9.5e-04
Epoch  17/100 | Steps:  17000 | α=1e-04 | Loss: 2.8137e-05 | BC: 2.0753e-05 | PDE: 7.3836e-02 | Val: 4.6963e-06 | Test: 4.4248e-05 | LR=9.4e-04 *
Epoch  18/100 | Steps:  18000 | α=1e-04 | Loss: 2.3945e-05 | BC: 1.7191e-05 | PDE: 6.7537e-02 | Val: 2.6088e-05 | Test: 4.7769e-05 | LR=9.3e-04
Epoch  19/100 | Steps:  19000 | α=1e-04 | Loss: 2.4523e-05 | BC: 1.8321e-05 | PDE: 6.2026e-02 | Val: 6.1787e-06 | Test: 3.9498e-05 | LR=9.2e-04
Epoch  20/100 | Steps:  20000 | α=1e-04 | Loss: 2.2017e-05 | BC: 1.6297e-05 | PDE: 5.7200e-02 | Val: 6.9290e-06 | Test: 3.6675e-05 | LR=9.1e-04
Epoch  21/100 | Steps:  21000 | α=1e-04 | Loss: 2.0954e-05 | BC: 1.5725e-05 | PDE: 5.2288e-02 | Val: 9.0851e-06 | Test: 3.2277e-05 | LR=9.1e-04
Epoch  22/100 | Steps:  22000 | α=1e-04 | Loss: 2.1999e-05 | BC: 1.7092e-05 | PDE: 4.9072e-02 | Val: 7.1594e-06 | Test: 2.6749e-05 | LR=9.0e-04
Epoch  23/100 | Steps:  23000 | α=1e-04 | Loss: 1.8697e-05 | BC: 1.4100e-05 | PDE: 4.5966e-02 | Val: 6.5436e-06 | Test: 2.6025e-05 | LR=8.9e-04
Epoch  24/100 | Steps:  24000 | α=1e-04 | Loss: 1.8633e-05 | BC: 1.4291e-05 | PDE: 4.3426e-02 | Val: 2.6419e-05 | Test: 3.6039e-05 | LR=8.8e-04

>>> Alpha increased: 1e-04 → 1e-03 (BC=1.3205e-05) <<<
Epoch  25/100 | Steps:  25000 | α=1e-03 | Loss: 1.7313e-05 | BC: 1.3205e-05 | PDE: 4.1075e-02 | Val: 6.9634e-06 | Test: 2.5642e-05 | LR=8.7e-04 *
Epoch  26/100 | Steps:  26000 | α=1e-03 | Loss: 4.9489e-05 | BC: 1.6779e-05 | PDE: 3.2710e-02 | Val: 3.8360e-06 | Test: 1.1254e-05 | LR=8.6e-04 *
Epoch  27/100 | Steps:  27000 | α=1e-03 | Loss: 3.8475e-05 | BC: 1.2413e-05 | PDE: 2.6061e-02 | Val: 1.6153e-05 | Test: 2.7087e-05 | LR=8.4e-04
Epoch  28/100 | Steps:  28000 | α=1e-03 | Loss: 3.5358e-05 | BC: 1.2728e-05 | PDE: 2.2630e-02 | Val: 6.8025e-06 | Test: 1.1994e-05 | LR=8.3e-04
Epoch  29/100 | Steps:  29000 | α=1e-03 | Loss: 3.3497e-05 | BC: 1.3074e-05 | PDE: 2.0423e-02 | Val: 6.9161e-06 | Test: 1.3080e-05 | LR=8.2e-04
Epoch  30/100 | Steps:  30000 | α=1e-03 | Loss: 3.0079e-05 | BC: 1.1212e-05 | PDE: 1.8866e-02 | Val: 3.4681e-05 | Test: 3.3478e-05 | LR=8.1e-04
Epoch  31/100 | Steps:  31000 | α=1e-03 | Loss: 2.8397e-05 | BC: 1.0859e-05 | PDE: 1.7538e-02 | Val: 1.1502e-05 | Test: 1.0266e-05 | LR=8.0e-04
Epoch  32/100 | Steps:  32000 | α=1e-03 | Loss: 2.7589e-05 | BC: 1.1318e-05 | PDE: 1.6271e-02 | Val: 2.0555e-06 | Test: 6.0711e-06 | LR=7.8e-04 *

>>> Alpha increased: 1e-03 → 1e-02 (BC=1.0203e-05) <<<
Epoch  33/100 | Steps:  33000 | α=1e-02 | Loss: 2.5697e-05 | BC: 1.0203e-05 | PDE: 1.5494e-02 | Val: 1.2464e-06 | Test: 6.7063e-06 | LR=7.7e-04 *
Epoch  34/100 | Steps:  34000 | α=1e-02 | Loss: 1.3803e-04 | BC: 1.8835e-05 | PDE: 1.1920e-02 | Val: 2.7504e-05 | Test: 3.9895e-05 | LR=7.6e-04
Epoch  35/100 | Steps:  35000 | α=1e-02 | Loss: 9.7716e-05 | BC: 1.7576e-05 | PDE: 8.0141e-03 | Val: 2.3988e-05 | Test: 2.8023e-05 | LR=7.4e-04
Epoch  36/100 | Steps:  36000 | α=1e-02 | Loss: 8.5747e-05 | BC: 2.0395e-05 | PDE: 6.5352e-03 | Val: 1.1063e-05 | Test: 7.3151e-06 | LR=7.3e-04
Epoch  37/100 | Steps:  37000 | α=1e-02 | Loss: 6.6038e-05 | BC: 1.5264e-05 | PDE: 5.0774e-03 | Val: 7.2970e-06 | Test: 5.0525e-06 | LR=7.2e-04
Epoch  38/100 | Steps:  38000 | α=1e-02 | Loss: 5.0783e-05 | BC: 1.1551e-05 | PDE: 3.9233e-03 | Val: 1.5551e-05 | Test: 1.2513e-05 | LR=7.0e-04
Epoch  39/100 | Steps:  39000 | α=1e-02 | Loss: 4.2683e-05 | BC: 1.1782e-05 | PDE: 3.0900e-03 | Val: 1.1316e-05 | Test: 8.8779e-06 | LR=6.9e-04
Epoch  40/100 | Steps:  40000 | α=1e-02 | Loss: 3.5416e-05 | BC: 1.0259e-05 | PDE: 2.5157e-03 | Val: 1.7047e-05 | Test: 1.4007e-05 | LR=6.7e-04
Epoch  41/100 | Steps:  41000 | α=1e-02 | Loss: 3.0231e-05 | BC: 9.7004e-06 | PDE: 2.0531e-03 | Val: 1.8397e-05 | Test: 1.2514e-05 | LR=6.6e-04
Epoch  42/100 | Steps:  42000 | α=1e-02 | Loss: 2.6473e-05 | BC: 9.0121e-06 | PDE: 1.7461e-03 | Val: 1.0135e-05 | Test: 9.2509e-06 | LR=6.4e-04
Epoch  43/100 | Steps:  43000 | α=1e-02 | Loss: 2.3067e-05 | BC: 8.3659e-06 | PDE: 1.4701e-03 | Val: 1.6439e-05 | Test: 1.1091e-05 | LR=6.3e-04
Epoch  44/100 | Steps:  44000 | α=1e-02 | Loss: 2.0825e-05 | BC: 7.4813e-06 | PDE: 1.3344e-03 | Val: 1.0702e-05 | Test: 1.1837e-05 | LR=6.1e-04
Epoch  45/100 | Steps:  45000 | α=1e-02 | Loss: 2.0021e-05 | BC: 7.7088e-06 | PDE: 1.2312e-03 | Val: 9.8397e-06 | Test: 8.1761e-06 | LR=6.0e-04
Epoch  46/100 | Steps:  46000 | α=1e-02 | Loss: 2.0131e-05 | BC: 7.8441e-06 | PDE: 1.2287e-03 | Val: 7.5664e-06 | Test: 6.5224e-06 | LR=5.8e-04

>>> Alpha increased: 1e-02 → 1e-01 (BC=7.5894e-06) <<<
Epoch  47/100 | Steps:  47000 | α=1e-01 | Loss: 1.8376e-05 | BC: 7.5894e-06 | PDE: 1.0787e-03 | Val: 8.8590e-06 | Test: 6.3214e-06 | LR=5.7e-04 *
Epoch  48/100 | Steps:  48000 | α=1e-01 | Loss: 3.2855e-04 | BC: 5.7240e-05 | PDE: 2.7131e-03 | Val: 1.8525e-05 | Test: 9.5879e-06 | LR=5.5e-04
Epoch  49/100 | Steps:  49000 | α=1e-01 | Loss: 2.3976e-04 | BC: 3.6230e-05 | PDE: 2.0353e-03 | Val: 2.8183e-05 | Test: 2.4538e-05 | LR=5.4e-04
Epoch  50/100 | Steps:  50000 | α=1e-01 | Loss: 1.4269e-04 | BC: 1.8760e-05 | PDE: 1.2393e-03 | Val: 2.1956e-05 | Test: 2.0432e-05 | LR=5.2e-04
Epoch  51/100 | Steps:  51000 | α=1e-01 | Loss: 1.4814e-04 | BC: 2.0824e-05 | PDE: 1.2731e-03 | Val: 6.7523e-06 | Test: 7.0849e-06 | LR=5.1e-04 *
Epoch  52/100 | Steps:  52000 | α=1e-01 | Loss: 1.3271e-04 | BC: 2.1526e-05 | PDE: 1.1119e-03 | Val: 1.1951e-05 | Test: 6.5227e-06 | LR=4.9e-04
Epoch  53/100 | Steps:  53000 | α=1e-01 | Loss: 1.1571e-04 | BC: 1.4707e-05 | PDE: 1.0101e-03 | Val: 5.3705e-06 | Test: 4.2354e-06 | LR=4.7e-04 *
Epoch  54/100 | Steps:  54000 | α=1e-01 | Loss: 1.2396e-04 | BC: 1.7895e-05 | PDE: 1.0607e-03 | Val: 6.3030e-06 | Test: 6.0982e-06 | LR=4.6e-04
Epoch  55/100 | Steps:  55000 | α=1e-01 | Loss: 1.1730e-04 | BC: 1.7454e-05 | PDE: 9.9850e-04 | Val: 6.2986e-05 | Test: 2.9815e-05 | LR=4.4e-04
Epoch  56/100 | Steps:  56000 | α=1e-01 | Loss: 1.5524e-04 | BC: 2.8759e-05 | PDE: 1.2648e-03 | Val: 8.0945e-06 | Test: 4.3588e-06 | LR=4.3e-04
Epoch  57/100 | Steps:  57000 | α=1e-01 | Loss: 8.9241e-05 | BC: 1.2195e-05 | PDE: 7.7046e-04 | Val: 1.6540e-05 | Test: 9.6292e-06 | LR=4.1e-04
Epoch  58/100 | Steps:  58000 | α=1e-01 | Loss: 9.5057e-05 | BC: 1.4239e-05 | PDE: 8.0818e-04 | Val: 1.7014e-05 | Test: 2.6116e-05 | LR=4.0e-04
Epoch  59/100 | Steps:  59000 | α=1e-01 | Loss: 9.6970e-05 | BC: 1.4609e-05 | PDE: 8.2362e-04 | Val: 4.1727e-05 | Test: 4.4443e-05 | LR=3.8e-04
Epoch  60/100 | Steps:  60000 | α=1e-01 | Loss: 1.3643e-04 | BC: 2.3779e-05 | PDE: 1.1265e-03 | Val: 5.1639e-06 | Test: 6.6171e-06 | LR=3.7e-04 *
Epoch  61/100 | Steps:  61000 | α=1e-01 | Loss: 7.3106e-05 | BC: 8.9851e-06 | PDE: 6.4121e-04 | Val: 6.2313e-06 | Test: 3.3050e-06 | LR=3.5e-04
Epoch  62/100 | Steps:  62000 | α=1e-01 | Loss: 9.4724e-05 | BC: 1.3151e-05 | PDE: 8.1573e-04 | Val: 6.8241e-06 | Test: 6.6936e-06 | LR=3.4e-04
Epoch  63/100 | Steps:  63000 | α=1e-01 | Loss: 7.1424e-05 | BC: 9.5862e-06 | PDE: 6.1838e-04 | Val: 3.9745e-06 | Test: 4.0286e-06 | LR=3.2e-04 *
Epoch  64/100 | Steps:  64000 | α=1e-01 | Loss: 7.7912e-05 | BC: 9.9723e-06 | PDE: 6.7940e-04 | Val: 8.4877e-06 | Test: 9.6774e-06 | LR=3.1e-04
Epoch  65/100 | Steps:  65000 | α=1e-01 | Loss: 7.6861e-05 | BC: 9.5347e-06 | PDE: 6.7326e-04 | Val: 3.0487e-06 | Test: 1.8496e-06 | LR=2.9e-04 *
Epoch  66/100 | Steps:  66000 | α=1e-01 | Loss: 5.7785e-05 | BC: 7.2990e-06 | PDE: 5.0486e-04 | Val: 1.3223e-05 | Test: 1.1075e-05 | LR=2.8e-04
Epoch  67/100 | Steps:  67000 | α=1e-01 | Loss: 5.9873e-05 | BC: 8.3184e-06 | PDE: 5.1555e-04 | Val: 7.2808e-06 | Test: 4.5146e-06 | LR=2.7e-04
Epoch  68/100 | Steps:  68000 | α=1e-01 | Loss: 5.8744e-05 | BC: 7.0900e-06 | PDE: 5.1654e-04 | Val: 5.2733e-06 | Test: 5.0433e-06 | LR=2.5e-04
Epoch  69/100 | Steps:  69000 | α=1e-01 | Loss: 5.1965e-05 | BC: 6.6835e-06 | PDE: 4.5281e-04 | Val: 1.0039e-05 | Test: 5.9817e-06 | LR=2.4e-04
