
============================================================
Running Example: aronsson_square
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 33,537

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 2.6238e-02 | BC: 2.6215e-02 | PDE: 2.3226e+00 | Val: 2.3508e-04 | Test: 5.0813e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 2.9302e-04 | BC: 2.6672e-04 | PDE: 2.6303e+00 | Val: 1.2477e-04 | Test: 5.3195e-03 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 2.0718e-04 | BC: 1.8231e-04 | PDE: 2.4871e+00 | Val: 9.8499e-05 | Test: 5.3030e-03 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 1.7424e-04 | BC: 1.5124e-04 | PDE: 2.3003e+00 | Val: 8.0683e-05 | Test: 4.8098e-03 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 1.5896e-04 | BC: 1.3763e-04 | PDE: 2.1334e+00 | Val: 9.2961e-05 | Test: 5.0420e-03 | LR=1.0e-03
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 1.3902e-04 | BC: 1.1871e-04 | PDE: 2.0317e+00 | Val: 9.8039e-05 | Test: 4.3233e-03 | LR=9.9e-04
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 1.4615e-04 | BC: 1.2647e-04 | PDE: 1.9686e+00 | Val: 4.8757e-05 | Test: 4.1444e-03 | LR=9.9e-04 *
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 1.2480e-04 | BC: 1.0597e-04 | PDE: 1.8837e+00 | Val: 4.5760e-05 | Test: 4.2386e-03 | LR=9.9e-04 *
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 1.1509e-04 | BC: 9.7497e-05 | PDE: 1.7591e+00 | Val: 8.3436e-05 | Test: 3.8799e-03 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 1.1237e-04 | BC: 9.5761e-05 | PDE: 1.6608e+00 | Val: 3.6018e-05 | Test: 3.7260e-03 | LR=9.8e-04 *
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 9.7002e-05 | BC: 8.2079e-05 | PDE: 1.4923e+00 | Val: 5.7881e-05 | Test: 3.4888e-03 | LR=9.8e-04
