
============================================================
Running Example: aronsson_square
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: ReLoBRaLo
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | w_bc=0.98 w_pde=1.02 | Loss: 2.1028e-01 | BC: 1.9466e-01 | PDE: 2.0736e-02 | Val: 1.5864e-01 | Test: 1.1268e-01 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | w_bc=0.93 w_pde=1.07 | Loss: 1.7380e-01 | BC: 1.5456e-01 | PDE: 2.4229e-02 | Val: 1.5083e-01 | Test: 1.4029e-01 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | w_bc=0.75 w_pde=1.25 | Loss: 1.1493e-01 | BC: 7.6597e-02 | PDE: 4.1228e-02 | Val: 1.3863e-02 | Test: 6.8754e-01 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | w_bc=0.62 w_pde=1.38 | Loss: 3.9423e-02 | BC: 1.3247e-02 | PDE: 2.2989e-02 | Val: 1.4073e-02 | Test: 7.1734e-01 | LR=1.0e-03
Epoch   5/100 | Steps:   5000 | w_bc=0.58 w_pde=1.42 | Loss: 2.9215e-02 | BC: 1.0252e-02 | PDE: 1.6439e-02 | Val: 6.9316e-03 | Test: 7.6512e-01 | LR=1.0e-03 *
Epoch   6/100 | Steps:   6000 | w_bc=0.59 w_pde=1.41 | Loss: 2.6407e-02 | BC: 8.7802e-03 | PDE: 1.5046e-02 | Val: 6.9610e-03 | Test: 7.4952e-01 | LR=9.9e-04
Epoch   7/100 | Steps:   7000 | w_bc=0.64 w_pde=1.36 | Loss: 2.7157e-02 | BC: 9.7644e-03 | PDE: 1.5298e-02 | Val: 9.7384e-03 | Test: 7.3262e-01 | LR=9.9e-04
Epoch   8/100 | Steps:   8000 | w_bc=0.66 w_pde=1.34 | Loss: 2.2739e-02 | BC: 7.5781e-03 | PDE: 1.3198e-02 | Val: 5.0607e-03 | Test: 7.5758e-01 | LR=9.9e-04 *
Epoch   9/100 | Steps:   9000 | w_bc=0.67 w_pde=1.33 | Loss: 1.7547e-02 | BC: 5.4525e-03 | PDE: 1.0428e-02 | Val: 5.3747e-03 | Test: 7.8627e-01 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | w_bc=0.70 w_pde=1.30 | Loss: 1.8739e-02 | BC: 5.9856e-03 | PDE: 1.1137e-02 | Val: 4.6126e-03 | Test: 7.8352e-01 | LR=9.8e-04 *
Epoch  11/100 | Steps:  11000 | w_bc=0.73 w_pde=1.27 | Loss: 1.5142e-02 | BC: 4.6940e-03 | PDE: 9.1863e-03 | Val: 3.7853e-03 | Test: 7.8891e-01 | LR=9.8e-04 *
Epoch  12/100 | Steps:  12000 | w_bc=0.74 w_pde=1.26 | Loss: 1.4791e-02 | BC: 4.5037e-03 | PDE: 9.0896e-03 | Val: 4.8082e-03 | Test: 7.4612e-01 | LR=9.7e-04
Epoch  13/100 | Steps:  13000 | w_bc=0.77 w_pde=1.23 | Loss: 1.3000e-02 | BC: 4.1150e-03 | PDE: 7.9481e-03 | Val: 4.1214e-03 | Test: 7.7350e-01 | LR=9.7e-04
Epoch  14/100 | Steps:  14000 | w_bc=0.79 w_pde=1.21 | Loss: 1.3886e-02 | BC: 4.3005e-03 | PDE: 8.6031e-03 | Val: 3.0711e-03 | Test: 8.0270e-01 | LR=9.6e-04 *
Epoch  15/100 | Steps:  15000 | w_bc=0.79 w_pde=1.21 | Loss: 1.5765e-02 | BC: 4.5222e-03 | PDE: 1.0058e-02 | Val: 2.8055e-03 | Test: 8.0950e-01 | LR=9.5e-04 *
Epoch  16/100 | Steps:  16000 | w_bc=0.81 w_pde=1.19 | Loss: 1.3399e-02 | BC: 4.0627e-03 | PDE: 8.4594e-03 | Val: 3.2672e-03 | Test: 8.0690e-01 | LR=9.5e-04
Epoch  17/100 | Steps:  17000 | w_bc=0.83 w_pde=1.17 | Loss: 1.4818e-02 | BC: 4.3923e-03 | PDE: 9.4518e-03 | Val: 3.2904e-03 | Test: 8.0323e-01 | LR=9.4e-04
Epoch  18/100 | Steps:  18000 | w_bc=0.83 w_pde=1.17 | Loss: 1.3986e-02 | BC: 4.0530e-03 | PDE: 9.0621e-03 | Val: 3.5888e-03 | Test: 7.9434e-01 | LR=9.3e-04
Epoch  19/100 | Steps:  19000 | w_bc=0.87 w_pde=1.13 | Loss: 1.0319e-02 | BC: 3.5269e-03 | PDE: 6.4017e-03 | Val: 3.0850e-03 | Test: 8.0797e-01 | LR=9.2e-04
Epoch  20/100 | Steps:  20000 | w_bc=0.84 w_pde=1.16 | Loss: 1.7328e-02 | BC: 4.8265e-03 | PDE: 1.1529e-02 | Val: 3.9469e-03 | Test: 7.8337e-01 | LR=9.1e-04
Epoch  21/100 | Steps:  21000 | w_bc=0.84 w_pde=1.16 | Loss: 1.6921e-02 | BC: 4.6350e-03 | PDE: 1.1274e-02 | Val: 7.8212e-03 | Test: 7.4595e-01 | LR=9.1e-04
Epoch  22/100 | Steps:  22000 | w_bc=0.84 w_pde=1.16 | Loss: 1.9513e-02 | BC: 5.1393e-03 | PDE: 1.3069e-02 | Val: 4.7397e-03 | Test: 7.2393e-01 | LR=9.0e-04
Epoch  23/100 | Steps:  23000 | w_bc=0.86 w_pde=1.14 | Loss: 1.1664e-02 | BC: 3.6236e-03 | PDE: 7.4512e-03 | Val: 2.8748e-03 | Test: 8.0195e-01 | LR=8.9e-04
Epoch  24/100 | Steps:  24000 | w_bc=0.86 w_pde=1.14 | Loss: 1.2075e-02 | BC: 3.6300e-03 | PDE: 7.8405e-03 | Val: 3.3517e-03 | Test: 7.7689e-01 | LR=8.8e-04
Epoch  25/100 | Steps:  25000 | w_bc=0.90 w_pde=1.10 | Loss: 9.2280e-03 | BC: 3.1757e-03 | PDE: 5.7359e-03 | Val: 2.7661e-03 | Test: 8.1700e-01 | LR=8.7e-04 *
