
============================================================
p-Laplacian Aronsson Example
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: PLaplacianPINN on Square [-1,1]²
  Hidden layers: [128, 128, 128, 128], activation: tanh
  η=1e-05, clip_residual=100.0, clip_grad_norm=1.0
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 2.2702e-02 | BC: 2.2231e-02 | PDE: 4.7069e+01 | Val: 3.7256e-04 | Test: 9.1202e-04 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 4.4139e-04 | BC: 3.4300e-04 | PDE: 9.8392e+00 | Val: 2.4529e-04 | Test: 6.8975e-04 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 3.3437e-04 | BC: 2.7859e-04 | PDE: 5.5787e+00 | Val: 1.3392e-04 | Test: 5.6537e-04 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 2.6498e-04 | BC: 2.2245e-04 | PDE: 4.2529e+00 | Val: 1.2945e-04 | Test: 4.6967e-04 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 2.4111e-04 | BC: 2.0528e-04 | PDE: 3.5829e+00 | Val: 1.1745e-04 | Test: 4.3639e-04 | LR=1.0e-03 *
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 2.2289e-04 | BC: 1.9379e-04 | PDE: 2.9104e+00 | Val: 5.2578e-05 | Test: 4.3069e-04 | LR=9.9e-04 *
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 1.7050e-04 | BC: 1.4734e-04 | PDE: 2.3156e+00 | Val: 1.2653e-04 | Test: 5.4805e-04 | LR=9.9e-04
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 1.6893e-04 | BC: 1.5085e-04 | PDE: 1.8087e+00 | Val: 3.5908e-05 | Test: 4.6842e-04 | LR=9.9e-04 *
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 1.7065e-04 | BC: 1.5679e-04 | PDE: 1.3868e+00 | Val: 4.6281e-05 | Test: 4.3811e-04 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 1.0566e-04 | BC: 9.4274e-05 | PDE: 1.1390e+00 | Val: 8.1244e-05 | Test: 4.4093e-04 | LR=9.8e-04
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 1.2450e-04 | BC: 1.1461e-04 | PDE: 9.8884e-01 | Val: 1.9200e-04 | Test: 5.3954e-04 | LR=9.8e-04
Epoch  12/100 | Steps:  12000 | α=1e-05 | Loss: 1.0720e-04 | BC: 9.8363e-05 | PDE: 8.8394e-01 | Val: 4.3942e-05 | Test: 4.4858e-04 | LR=9.7e-04
Epoch  13/100 | Steps:  13000 | α=1e-05 | Loss: 1.0898e-04 | BC: 1.0093e-04 | PDE: 8.0536e-01 | Val: 2.6359e-05 | Test: 4.2856e-04 | LR=9.7e-04 *
Epoch  14/100 | Steps:  14000 | α=1e-05 | Loss: 1.0552e-04 | BC: 9.8222e-05 | PDE: 7.2976e-01 | Val: 1.4537e-04 | Test: 4.4734e-04 | LR=9.6e-04
Epoch  15/100 | Steps:  15000 | α=1e-05 | Loss: 8.0020e-05 | BC: 7.3458e-05 | PDE: 6.5622e-01 | Val: 1.6280e-05 | Test: 4.2817e-04 | LR=9.5e-04 *
Epoch  16/100 | Steps:  16000 | α=1e-05 | Loss: 7.8482e-05 | BC: 7.2635e-05 | PDE: 5.8471e-01 | Val: 7.7171e-06 | Test: 4.2213e-04 | LR=9.5e-04 *
Epoch  17/100 | Steps:  17000 | α=1e-05 | Loss: 7.4221e-05 | BC: 6.8984e-05 | PDE: 5.2364e-01 | Val: 9.3442e-06 | Test: 4.1396e-04 | LR=9.4e-04
Epoch  18/100 | Steps:  18000 | α=1e-05 | Loss: 6.5212e-05 | BC: 6.0361e-05 | PDE: 4.8517e-01 | Val: 1.3471e-05 | Test: 4.2577e-04 | LR=9.3e-04
Epoch  19/100 | Steps:  19000 | α=1e-05 | Loss: 6.5862e-05 | BC: 6.1439e-05 | PDE: 4.4228e-01 | Val: 5.7531e-05 | Test: 4.2661e-04 | LR=9.2e-04

>>> Alpha increased: 1e-05 → 1e-04 (BC=5.9852e-05) <<<
Epoch  20/100 | Steps:  20000 | α=1e-04 | Loss: 6.4056e-05 | BC: 5.9852e-05 | PDE: 4.2033e-01 | Val: 2.8657e-06 | Test: 4.1245e-04 | LR=9.1e-04 *
Epoch  21/100 | Steps:  21000 | α=1e-04 | Loss: 8.1181e-05 | BC: 6.5055e-05 | PDE: 1.6126e-01 | Val: 1.1052e-05 | Test: 4.3377e-04 | LR=9.1e-04
Epoch  22/100 | Steps:  22000 | α=1e-04 | Loss: 6.0223e-05 | BC: 5.0374e-05 | PDE: 9.8495e-02 | Val: 8.2846e-06 | Test: 4.2674e-04 | LR=9.0e-04
Epoch  23/100 | Steps:  23000 | α=1e-04 | Loss: 5.4201e-05 | BC: 4.6443e-05 | PDE: 7.7579e-02 | Val: 2.5198e-05 | Test: 4.3887e-04 | LR=8.9e-04
Epoch  24/100 | Steps:  24000 | α=1e-04 | Loss: 5.1440e-05 | BC: 4.4686e-05 | PDE: 6.7538e-02 | Val: 3.2770e-05 | Test: 4.6723e-04 | LR=8.8e-04
Epoch  25/100 | Steps:  25000 | α=1e-04 | Loss: 5.1399e-05 | BC: 4.5240e-05 | PDE: 6.1590e-02 | Val: 1.0262e-05 | Test: 4.4248e-04 | LR=8.7e-04
Epoch  26/100 | Steps:  26000 | α=1e-04 | Loss: 4.3233e-05 | BC: 3.8043e-05 | PDE: 5.1891e-02 | Val: 3.4483e-05 | Test: 4.5262e-04 | LR=8.6e-04
Epoch  27/100 | Steps:  27000 | α=1e-04 | Loss: 4.1974e-05 | BC: 3.7140e-05 | PDE: 4.8341e-02 | Val: 1.7978e-05 | Test: 4.3879e-04 | LR=8.4e-04
Epoch  28/100 | Steps:  28000 | α=1e-04 | Loss: 4.0104e-05 | BC: 3.5575e-05 | PDE: 4.5289e-02 | Val: 3.2884e-05 | Test: 4.4395e-04 | LR=8.3e-04
Epoch  29/100 | Steps:  29000 | α=1e-04 | Loss: 4.0532e-05 | BC: 3.6200e-05 | PDE: 4.3323e-02 | Val: 4.6767e-05 | Test: 4.7392e-04 | LR=8.2e-04
Epoch  30/100 | Steps:  30000 | α=1e-04 | Loss: 3.8894e-05 | BC: 3.4711e-05 | PDE: 4.1822e-02 | Val: 2.3674e-05 | Test: 4.4861e-04 | LR=8.1e-04
Epoch  31/100 | Steps:  31000 | α=1e-04 | Loss: 3.0643e-05 | BC: 2.6861e-05 | PDE: 3.7821e-02 | Val: 1.3068e-05 | Test: 4.4216e-04 | LR=8.0e-04
