
============================================================
Eikonal Equation |∇u|² = 1 (2D)
Case: boundary | Domain: square
============================================================

  Interior: 1,000,000  |  Test: 10,000
  Boundary points: 40,000
  Re-sampling enabled: ~1,000,000 interior points per epoch

  Splitting: 80% train, 20% val
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: EikonalPINN (input_dim=2)
  Hidden layers: [128, 128, 128, 128], activation: tanh
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Positivity weight: 1.0
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e+00 | Loss: 9.6340e-02 | BC: 2.6980e-02 | PDE: 6.9361e-02 | Val: 2.4251e-03 | Test: 2.4644e-03 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e+00 | Loss: 3.8738e-03 | BC: 1.0285e-03 | PDE: 2.8454e-03 | Val: 4.1979e-04 | Test: 2.1183e-04 | LR=1.0e-03 *
Epoch   3/100 | Steps:   3000 | α=1e+00 | Loss: 2.0744e-03 | BC: 4.8859e-04 | PDE: 1.5858e-03 | Val: 4.3976e-04 | Test: 2.1105e-04 | LR=1.0e-03
Epoch   4/100 | Steps:   4000 | α=1e+00 | Loss: 1.4071e-03 | BC: 3.1084e-04 | PDE: 1.0963e-03 | Val: 2.6738e-04 | Test: 1.7709e-04 | LR=1.0e-03 *
Epoch   5/100 | Steps:   5000 | α=1e+00 | Loss: 1.1078e-03 | BC: 2.3754e-04 | PDE: 8.7024e-04 | Val: 1.0025e-04 | Test: 7.5010e-05 | LR=1.0e-03 *
Epoch   6/100 | Steps:   6000 | α=1e+00 | Loss: 8.7682e-04 | BC: 2.0801e-04 | PDE: 6.6881e-04 | Val: 2.0167e-04 | Test: 1.1302e-04 | LR=9.9e-04
Epoch   7/100 | Steps:   7000 | α=1e+00 | Loss: 7.4485e-04 | BC: 1.8637e-04 | PDE: 5.5848e-04 | Val: 1.4542e-04 | Test: 1.5704e-04 | LR=9.9e-04
Epoch   8/100 | Steps:   8000 | α=1e+00 | Loss: 6.1933e-04 | BC: 1.5724e-04 | PDE: 4.6209e-04 | Val: 6.8940e-05 | Test: 7.2686e-05 | LR=9.9e-04 *
Epoch   9/100 | Steps:   9000 | α=1e+00 | Loss: 5.8397e-04 | BC: 1.5154e-04 | PDE: 4.3243e-04 | Val: 1.4509e-04 | Test: 9.3002e-05 | LR=9.8e-04
Epoch  10/100 | Steps:  10000 | α=1e+00 | Loss: 4.3920e-04 | BC: 1.1468e-04 | PDE: 3.2452e-04 | Val: 5.4297e-05 | Test: 4.0687e-05 | LR=9.8e-04 *
Epoch  11/100 | Steps:  11000 | α=1e+00 | Loss: 5.5866e-04 | BC: 1.5486e-04 | PDE: 4.0380e-04 | Val: 5.3435e-05 | Test: 4.3219e-05 | LR=9.8e-04 *
