p,variant,best_epoch,best_val_mse,best_test_mse,final_test_mse,training_seconds
10,baseline,100,2.4355e-06,1.0568e-04,1.0568e-04,1958.15
10,clip0,100,2.4355e-06,1.0568e-04,1.0568e-04,1003.02
10,clip0_gradclip0,99,4.3348e-05,1.7573e-04,3.0754e-04,1053.06
10,clip0_gradclip0_eta0,99,4.3348e-05,1.7573e-04,3.0754e-04,1313.01
10,clip0_gradclip0_out0,98,6.0441e-05,1.8698e-04,4.6383e-04,1110.26
10,clip0_gradclip0_out0_eta0,98,6.0441e-05,1.8698e-04,4.6383e-04,1168.49
10,eta0,100,2.4355e-06,1.0568e-04,1.0568e-04,1031.39
10,gradclip0,100,5.4868e-05,1.9314e-04,1.9314e-04,883.72
10,gradclip0_eta0,100,5.4868e-05,1.9314e-04,1.9314e-04,989.87
10,gradclip0_out0,98,5.5143e-05,1.8935e-04,4.6818e-04,1027.56
10,gradclip0_out0_eta0,98,5.5143e-05,1.8935e-04,4.6818e-04,1116.46
10,out0,58,2.8311e-05,1.5391e-04,1.5865e-04,1596.71
200,baseline,100,5.2802e-03,1.6519e-02,1.6519e-02,1397.94
200,clip0,100,7.2003e-03,3.1594e-03,3.1594e-03,1318.33
200,clip0_gradclip0,diverged,diverged,diverged,diverged,933.55
200,clip0_gradclip0_eta0,diverged,diverged,diverged,diverged,875.51
200,clip0_gradclip0_out0,diverged,diverged,diverged,diverged,970.01
200,clip0_gradclip0_out0_eta0,diverged,diverged,diverged,diverged,999.69
200,eta0,100,5.2802e-03,1.6519e-02,1.6519e-02,1003.82
200,gradclip0,diverged,diverged,diverged,diverged,1012.80
200,gradclip0_eta0,diverged,diverged,diverged,diverged,924.12
200,gradclip0_out0,diverged,diverged,diverged,diverged,1068.17
200,gradclip0_out0_eta0,diverged,diverged,diverged,diverged,878.67
200,out0,85,2.9403e-03,1.6921e-02,1.6430e-02,1040.14
