table,example,solution,p,test_points,normalized_discrete_l2_norm
4,arctan,u_infty,infinity,10000,8.862135814847e-01
4,aronsson_square,u_infty,infinity,10000,4.276549891970e-01
4,aronsson_disc,u_infty,infinity,7668,4.283554848330e-01
6,distance_boundary_disc,u_infty,infinity,7668,4.090374102483e-01
6,distance_boundary_disc,u_p,2,7668,1.446167258292e-01
6,distance_boundary_disc,u_p,3,7668,2.395080326966e-01
6,distance_boundary_disc,u_p,4,7668,2.851464483381e-01
6,distance_boundary_disc,u_p,5,7668,3.115649407377e-01
6,distance_boundary_disc,u_p,10,7668,3.619743510667e-01
6,distance_boundary_disc,u_p,50,7668,3.998921366687e-01
6,distance_boundary_disc,u_p,100,7668,4.044813481834e-01
6,distance_boundary_disc,u_p,200,7668,4.067635154221e-01
6,distance_boundary_disc,u_p,1000,7668,4.085832923272e-01
8,disc,u_infty,infinity,7845,4.084833562374e-01
8,ellipse1,u_infty,infinity,1965,1.238960474730e-01
8,ellipse2,u_infty,infinity,1967,1.237070187926e-01
8,ellipse3,u_infty,infinity,3915,2.398280203342e-01
8,sphere,u_infty,infinity,65251,3.167098462582e-01
8,cylinder,u_infty,infinity,100011,3.133288621902e-01
8,torus,u_infty,infinity,22924,4.076067805290e-01
