example,seed,best_epoch,best_val_mse,best_test_mse,final_test_mse,training_seconds
arctan,1234,97,6.3694e-08,2.4184e-07,2.7007e-07,1366.99
arctan,3456,99,6.1295e-08,1.1573e-07,1.8774e-07,818.61
arctan,5678,100,5.2844e-08,2.7456e-07,2.7456e-07,833.48
arctan,6789,96,5.1185e-08,2.1262e-07,2.1835e-07,894.59
arctan,8765,98,1.8008e-07,7.1430e-07,7.9762e-07,792.53
aronsson_square,1234,99,1.6916e-07,5.7354e-07,7.8405e-07,854.87
aronsson_square,3456,99,1.8175e-07,4.0104e-07,5.1976e-07,791.03
aronsson_square,5678,98,3.2054e-07,6.5295e-07,1.0271e-06,830.87
aronsson_square,6789,98,4.9906e-08,3.8479e-07,4.6475e-07,952.00
aronsson_square,8765,98,7.8300e-08,2.2190e-07,2.9794e-07,832.29
aronsson_disc,1234,98,2.6848e-07,4.7700e-07,6.2632e-07,703.90
aronsson_disc,3456,100,5.5507e-07,1.0405e-06,1.0405e-06,631.35
aronsson_disc,5678,96,2.4077e-07,3.7068e-07,4.4161e-07,662.65
aronsson_disc,6789,97,3.8238e-07,7.8426e-07,9.6560e-07,685.82
aronsson_disc,8765,99,3.0577e-07,4.5110e-07,6.9547e-07,640.55
