p,evaluation,mse_p,mse_infty_p
5,training,5.3399084265493e-08,9.70381498336792e-03
7,interpolation,1.5836656075407518e-06,4.939850885421038e-03
10,training,4.621312399422095e-08,2.2694456856697798e-03
12,interpolation,9.674744916310374e-08,1.539797754958272e-03
25,training,6.695798759892568e-08,3.4921118640340865e-04
37,interpolation,7.755662778663464e-08,1.5623982471879572e-04
50,training,8.080250779585185e-08,8.570570935262367e-05
77,interpolation,8.696828501797427e-08,3.613019725889899e-05
100,training,8.989659505687086e-08,2.1196508896537125e-05
137,interpolation,9.24002563351678e-08,1.1348784028086811e-05
150,training,9.298846492811208e-08,9.505282832833473e-06
177,interpolation,9.433073699938177e-08,6.81953179082484e-06
200,training,9.757867047710533e-08,5.247837179922499e-06
250,augmented_interpolation,1.2989232800464379e-07,3.0428648187807994e-06
300,augmented_interpolation,2.1585545084690239e-07,1.788388317436329e-06
400,augmented_interpolation,5.356282031243609e-07,6.45587306280504e-07
500,auxiliary_input,1.1786015647885506e-06,4.779522555509175e-07
