p,is_training_p,mse_exact,relative_l2_exact,max_abs_exact,boundary_mse,mse_limit,exact_to_limit_mse
5.0,1,5.3399084265493e-08,0.0007426916854456067,0.003144502639770508,2.8462201839829504e-07,0.00970381498336792,0.00971237849444151
6.0,0,1.8953292055812199e-06,0.00419358815997839,0.007870018482208252,2.0521159171948966e-07,0.006817500572651625,0.006595936603844166
7.0,0,1.5836656075407518e-06,0.003697870532050729,0.008810162544250488,1.682414563219936e-07,0.004939850885421038,0.004768078681081533
8.0,0,6.236511467250239e-07,0.0022614398039877415,0.008757591247558594,1.495615862268096e-07,0.0036972626112401485,0.0036059862468391657
9.0,0,1.462215379888221e-07,0.0010739641729742289,0.008689641952514648,1.3838719326031423e-07,0.0028554562013596296,0.0028218915686011314
10.0,1,4.621312399422095e-08,0.0005946953315287828,0.008863568305969238,1.304660202094965e-07,0.0022694456856697798,0.002268117154017091
11.0,0,7.070185858992772e-08,0.0007267075125128031,0.009274303913116455,1.2438715657481225e-07,0.0018495334079489112,0.0018626073142513633
12.0,0,9.674744916310374e-08,0.0008416809723712504,0.009841382503509521,1.1981410352746025e-07,0.001539797754958272,0.0015568220987915993
13.0,0,9.88300143944798e-08,0.0008436659118160605,0.010479569435119629,1.1667196986309136e-07,0.0013048734981566668,0.0013205655850470066
14.0,0,8.636191495270396e-08,0.0007831346010789275,0.011124610900878906,1.1490556772741911e-07,0.0011220714077353477,0.0011342576472088695
15.0,1,7.190804041101728e-08,0.00071030791150406,0.0117340087890625,1.1438706337685289e-07,0.0009765220456756651,0.0009847563924267888
16.0,0,6.198838065074597e-08,0.0006560589536093175,0.01228398084640503,1.149280919321427e-07,0.0008582840673625469,0.0008629672811366618
17.0,0,5.772629307898569e-08,0.0006302121328189969,0.012764513492584229,1.1634031693574798e-07,0.0007605747669003904,0.0007624468998983502
18.0,0,5.758024812507756e-08,0.0006268760771490633,0.013175666332244873,1.1838756108772941e-07,0.0006786645390093327,0.0006785146542824805
19.0,0,5.9507819116788596e-08,0.000634996104054153,0.013521909713745117,1.2089527956504753e-07,0.0006091693066991866,0.0006077129510231316
20.0,1,6.191658741272477e-08,0.0006456398405134678,0.013810813426971436,1.2369234525522188e-07,0.000549611693713814,0.000547440315131098
21.0,0,6.394531482101229e-08,0.0006542340852320194,0.014051079750061035,1.2663008419622201e-07,0.0004981507663615048,0.0004957097698934376
22.0,0,6.532704333039874e-08,0.0006595330778509378,0.014251291751861572,1.2960697404196253e-07,0.00045337274787016213,0.00045097622205503285
23.0,0,6.612732050825798e-08,0.0006619802443310618,0.014419496059417725,1.3253281849756604e-07,0.0004141750105191022,0.0004120361991226673
24.0,0,6.659220019855638e-08,0.0006628578994423151,0.014562785625457764,1.353354122102246e-07,0.00037968961987644434,0.00037792939110659063
25.0,1,6.695798759892568e-08,0.0006633499870076776,0.014687180519104004,1.379962242253896e-07,0.00034921118640340865,0.0003478886792436242
26.0,0,6.740889091361169e-08,0.0006643577944487333,0.014797508716583252,1.4046432283976173e-07,0.00032216665567830205,0.00032129124156199396
27.0,0,6.80396112784365e-08,0.0006663270760327578,0.014897644519805908,1.427220297500753e-07,0.0002980788121931255,0.00029763177735731006
28.0,0,6.887697168167506e-08,0.0006693620816804469,0.014990627765655518,1.4477495824394282e-07,0.00027655085432343185,0.00027649226831272244
29.0,0,6.989128564782732e-08,0.0006732894107699394,0.015078961849212646,1.466070500555361e-07,0.00025725169689394534,0.00025752733927220106
30.0,1,7.102474341991183e-08,0.0006778051611036062,0.01516425609588623,1.4823974936462037e-07,0.00023989462351892143,0.0002404487313469872
31.0,0,7.220673836627611e-08,0.0006825553718954325,0.015247583389282227,1.4966454386922123e-07,0.00022423831978812814,0.0002250141988042742
32.0,0,7.336680596381484e-08,0.0006872001686133444,0.015329957008361816,1.508996660959383e-07,0.00021007783652748913,0.00021101903985254467
33.0,0,7.445585481491435e-08,0.000691511610057205,0.015411674976348877,1.5197183245163615e-07,0.00019723344303201884,0.00019829030497930944
34.0,0,7.54326308083364e-08,0.0006953052361495793,0.01549309492111206,1.52864714664247e-07,0.00018555219867266715,0.00018667924450710416
35.0,1,7.62767058404279e-08,0.000698496587574482,0.015574216842651367,1.5360970451183675e-07,0.000174901113496162,0.00017605912580620497
36.0,0,7.698368875708184e-08,0.0007010750705376267,0.015654921531677246,1.5422294552536187e-07,0.00016516301548108459,0.00016631949984002858
37.0,0,7.755662778663464e-08,0.0007030623382888734,0.0157354474067688,1.5469790071165335e-07,0.00015623982471879572,0.00015736682689748704
38.0,0,7.800794321610738e-08,0.000704520323779434,0.015815258026123047,1.550737351863063e-07,0.00014804281818214804,0.000149117928231135
39.0,0,7.836623439061441e-08,0.0007055816240608692,0.015893995761871338,1.553323016878494e-07,0.00014049386663828045,0.00014150131028145552
40.0,1,7.864841933269417e-08,0.0007063238881528378,0.015971660614013672,1.5551027843230258e-07,0.00013352530368138105,0.00013445279910229146
41.0,0,7.887165764941528e-08,0.0007068246486596763,0.016048073768615723,1.555988120571783e-07,0.00012708136637229472,0.00012791897461283952
42.0,0,7.906347576636108e-08,0.0007072067237459123,0.01612299680709839,1.556116160372767e-07,0.00012110683746868744,0.00012184979277662933
43.0,0,7.923569711465461e-08,0.0007075222092680633,0.016196250915527344,1.5555616528217797e-07,0.00011555750825209543,0.0001162021653726697
44.0,0,7.940946034068475e-08,0.0007078640628606081,0.016267359256744385,1.554579398543865e-07,0.0001103910690289922,0.00011093871580669656
45.0,1,7.95898387195848e-08,0.0007082535303197801,0.016336500644683838,1.5529049335327727e-07,0.00010557391942711547,0.0001060248032445088
46.0,0,7.978929517094002e-08,0.0007087445119395852,0.016403257846832275,1.5508622652760096e-07,0.00010107145499205217,0.00010142988321604207
47.0,0,8.000879603287103e-08,0.0007093396852724254,0.016467571258544922,1.548370534010246e-07,9.685776603873819e-05,9.71277549979277e-05
48.0,0,8.025195796790285e-08,0.0007100534276105464,0.016529560089111328,1.5455587742962962e-07,9.290649904869497e-05,9.30937021621503e-05
49.0,0,8.051534905462177e-08,0.0007108690915629268,0.016589045524597168,1.5424393495777622e-07,8.919664105633274e-05,8.93055839696899e-05
50.0,1,8.080250779585185e-08,0.0007118008215911686,0.01664602756500244,1.539093545943615e-07,8.570570935262367e-05,8.574449748266488e-05
51.0,0,8.11042539794471e-08,0.0007128067081794143,0.016700327396392822,1.5354203242168296e-07,8.241790055762976e-05,8.239181624958292e-05
52.0,0,8.141960705643214e-08,0.0007138812798075378,0.016752302646636963,1.5315866619403096e-07,7.931662548799068e-05,7.923172233859077e-05
53.0,0,8.174458088205938e-08,0.0007150063174776733,0.01680159568786621,1.5276788190021762e-07,7.638643000973389e-05,7.625079888384789e-05
54.0,0,8.207454271769166e-08,0.0007161602843552828,0.01684856414794922,1.5235220018894324e-07,7.361586176557466e-05,7.343404286075383e-05
55.0,1,8.240486693011917e-08,0.0007173225749284029,0.01689302921295166,1.519304788644149e-07,7.099156209733337e-05,7.07711951690726e-05
56.0,0,8.273224239019328e-08,0.0007184783462435007,0.016935110092163086,1.5149487353482982e-07,6.850343197584152e-05,6.825054879300296e-05
57.0,0,8.30511694971392e-08,0.0007196032674983144,0.016974687576293945,1.5106255091268395e-07,6.614223821088672e-05,6.58620847389102e-05
58.0,0,8.336200352232481e-08,0.0007206987356767058,0.01701223850250244,1.5062602187754237e-07,6.38981000520289e-05,6.359685357892886e-05
59.0,0,8.365944381694135e-08,0.0007217417005449533,0.017047524452209473,1.501802415759812e-07,6.176414899528027e-05,6.144674262031913e-05
60.0,1,8.394641781706014e-08,0.0007227447349578142,0.01708090305328369,1.4972988537920173e-07,5.9733938542194664e-05,5.9403238992672414e-05
61.0,0,8.421385189194552e-08,0.0007236687233671546,0.017112016677856445,1.4929341318747902e-07,5.7797842600848526e-05,5.746058013755828e-05
62.0,0,8.447025123814456e-08,0.0007245503948070109,0.017141401767730713,1.488490966039535e-07,5.595290713245049e-05,5.561135185416788e-05
63.0,0,8.470911438962503e-08,0.0007253618096001446,0.017168939113616943,1.484125391471025e-07,5.4192409152165055e-05,5.385035547078587e-05
64.0,0,8.493602621229002e-08,0.0007261267746798694,0.01719498634338379,1.4797835490298894e-07,5.2510797104332596e-05,5.21709444001317e-05
65.0,1,8.514248150959247e-08,0.0007268092012964189,0.01721876859664917,1.475485902346918e-07,5.090334889246151e-05,5.0569837185321376e-05
66.0,0,8.534055950804031e-08,0.0007274605450220406,0.017241597175598145,1.4712453832999017e-07,4.936609911965206e-05,4.904044544673525e-05
67.0,0,8.552740382583579e-08,0.0007280685822479427,0.017262935638427734,1.4670085590751114e-07,4.78964539070148e-05,4.7580047976225615e-05
68.0,0,8.569872278485491e-08,0.0007286149193532765,0.01728266477584839,1.4629686972966738e-07,4.6487373765558004e-05,4.618374441633932e-05
69.0,0,8.586123811937796e-08,0.0007291282527148724,0.017301201820373535,1.4591603303415468e-07,4.5137840061215684e-05,4.484780947677791e-05
70.0,1,8.601770673521969e-08,0.0007296201656572521,0.0173187255859375,1.4552711036230903e-07,4.384482963359915e-05,4.356946737971157e-05
71.0,0,8.616544278083893e-08,0.0007300790166482329,0.017334938049316406,1.451554965115065e-07,4.2604315240168944e-05,4.234455991536379e-05
72.0,0,8.630842529555594e-08,0.0007305217441171408,0.017350435256958008,1.4479039123216353e-07,4.141467434237711e-05,4.117090065847151e-05
73.0,0,8.644564530868593e-08,0.0007309439242817461,0.017364680767059326,1.4443423879129114e-07,4.0271621401188895e-05,4.004525180789642e-05
74.0,0,8.658007288886438e-08,0.0007313578971661627,0.017378270626068115,1.441022448034346e-07,3.917425419786014e-05,3.8965066778473556e-05
75.0,1,8.670978957070474e-08,0.0007317555136978626,0.017390787601470947,1.43776489380798e-07,3.811944407061674e-05,3.792790448642336e-05
76.0,0,8.683981889134884e-08,0.0007321579032577574,0.017402827739715576,1.4347020282912126e-07,3.710579403559677e-05,3.693180769914761e-05
77.0,0,8.696828501797427e-08,0.0007325569167733192,0.017413973808288574,1.431680232144572e-07,3.613019725889899e-05,3.597441173042171e-05
78.0,0,8.709604060186393e-08,0.0007329560467042029,0.017424583435058594,1.4288933414263738e-07,3.519180972944014e-05,3.5053639294346794e-05
79.0,0,8.722326327870178e-08,0.0007333559333346784,0.017434537410736084,1.42617508913645e-07,3.428870695643127e-05,3.416794061195105e-05
80.0,1,8.735155887507062e-08,0.000733763154130429,0.017444252967834473,1.423670852318537e-07,3.3419637475162745e-05,3.3315325708827004e-05
81.0,0,8.748039448391864e-08,0.0007341753807850182,0.017453312873840332,1.4212791654699686e-07,3.258225478930399e-05,3.249413566663861e-05
82.0,0,8.760998326806657e-08,0.0007345934282056987,0.01746189594268799,1.4190896990839974e-07,3.177499456796795e-05,3.170307900290936e-05
83.0,0,8.774068760430964e-08,0.0007350186351686716,0.01747053861618042,1.4169624762416788e-07,3.0998318834463134e-05,3.094055864494294e-05
84.0,0,8.787160510337344e-08,0.0007354470435529947,0.01747840642929077,1.4151289917663235e-07,3.024804209417198e-05,3.020510121132247e-05
85.0,1,8.800424211585778e-08,0.0007358849979937077,0.017485976219177246,1.4133195236354368e-07,2.952452086901758e-05,2.94958554150071e-05
86.0,0,8.813563567855454e-08,0.0007363198674283922,0.017493367195129395,1.411778214333026e-07,2.882628541556187e-05,2.881079853978008e-05
87.0,0,8.826908270975764e-08,0.0007367654470726848,0.01750051975250244,1.4102633372203854e-07,2.8152864615549333e-05,2.8149715944891796e-05
88.0,0,8.840046206159968e-08,0.0007372044492512941,0.017507612705230713,1.4090267086430686e-07,2.7503030651132576e-05,2.7511017833603546e-05
89.0,0,8.853310617951138e-08,0.000737650494556874,0.017514348030090332,1.4078968035846628e-07,2.6875119147007354e-05,2.6893920221482404e-05
90.0,1,8.86650255438326e-08,0.0007380954921245575,0.017521023750305176,1.4070046461256425e-07,2.6268258807249367e-05,2.629724986036308e-05
91.0,0,8.879658963678594e-08,0.0007385407225228846,0.017527759075164795,1.406210685672704e-07,2.5681711122160777e-05,2.572000630607363e-05
92.0,0,8.892415337413695e-08,0.0007389710517600179,0.017534255981445312,1.4055612496122194e-07,2.5115887183346786e-05,2.516179665690288e-05
93.0,0,8.90550282406366e-08,0.0007394167478196323,0.017540574073791504,1.405056195835641e-07,2.456724178045988e-05,2.4621476768516004e-05
94.0,0,8.91805669311907e-08,0.0007398420129902661,0.017547011375427246,1.4046582919036155e-07,2.403787220828235e-05,2.4098657377180643e-05
95.0,1,8.93045282168714e-08,0.0007402620976790786,0.017553269863128662,1.4044853458017315e-07,2.3525190044892952e-05,2.359181598876603e-05
96.0,0,8.942951978951896e-08,0.0007406881195493042,0.017559587955474854,1.4042527141100436e-07,2.3029095245874487e-05,2.3101296392269433e-05
97.0,0,8.955117891673581e-08,0.0007411017431877553,0.01756584644317627,1.404432623530738e-07,2.2548649212694727e-05,2.2625854398938827e-05
98.0,0,8.966611630967236e-08,0.0007414889405481517,0.01757216453552246,1.4046179330762243e-07,2.2084039301262237e-05,2.216471875726711e-05
99.0,0,8.978008025906092e-08,0.000741873518563807,0.017578303813934326,1.4049592778064834e-07,2.1633602955262177e-05,2.1717562049161643e-05
100.0,1,8.989659505687086e-08,0.0007422700291499496,0.01758444309234619,1.4054567998300627e-07,2.1196508896537125e-05,2.128396590705961e-05
101.0,0,9.000177669804543e-08,0.0007426209631375968,0.017590880393981934,1.4060755404443626e-07,2.0774183212779462e-05,2.086292442982085e-05
102.0,0,9.010893364802541e-08,0.000742981384973973,0.017597198486328125,1.4067425979646941e-07,2.036423029494472e-05,2.045442488451954e-05
103.0,0,9.02117989198814e-08,0.0007433254504576325,0.017603576183319092,1.4075911280997389e-07,1.9966917534475215e-05,2.0058030713698827e-05
104.0,0,9.031090542066522e-08,0.0007436551968567073,0.017610013484954834,1.4085478028391663e-07,1.958138273039367e-05,1.9672625057864934e-05
