p,total_loss,mse_infinity,mse_p
2,1.286669695e-05,7.144570351e-02,8.861358083e-07
3,1.929722185e-05,3.070426919e-02,1.645051088e-05
4,1.365530380e-05,1.696043462e-02,2.981642683e-05
5,1.173460671e-05,1.033031102e-02,1.283662368e-05
6,1.156130534e-05,7.103277836e-03,1.381077527e-05
7,9.608869045e-06,5.188204348e-03,1.262904243e-05
8,1.576477484e-05,4.015044775e-03,1.477794103e-05
9,1.503569932e-06,3.166365204e-03,1.420714943e-05
10,1.090395400e-05,2.507268218e-03,9.212570149e-06
11,5.177358622e-06,2.041996457e-03,6.971352377e-06
12,3.807131237e-06,1.714238315e-03,6.151693469e-06
13,2.811365837e-06,1.455359044e-03,5.445319857e-06
14,2.741040830e-06,1.241726102e-03,4.529076705e-06
15,2.475504428e-06,1.087010838e-03,4.452347184e-06
16,2.291520007e-06,9.517130675e-04,3.965228643e-06
17,2.235960966e-06,8.404584951e-04,3.686121772e-06
18,1.896171421e-06,7.473796140e-04,3.421628207e-06
19,2.011975285e-06,6.702124956e-04,3.182973842e-06
20,1.194709545e-06,5.981583381e-04,2.576281076e-06
25,1.678076548e-06,3.861033765e-04,2.360947292e-06
30,2.235449746e-06,2.682685154e-04,2.094430556e-06
40,3.224813279e-06,1.533589821e-04,1.886013024e-06
50,5.152069585e-06,9.980971663e-05,1.739902359e-06
60,6.655468891e-06,7.079535135e-05,1.626199264e-06
70,8.703444966e-06,5.227761721e-05,1.533421823e-06
80,9.676249770e-06,4.135544077e-05,1.482176344e-06
90,1.207772796e-05,3.290715904e-05,1.388971668e-06
100,1.345857558e-05,2.671957554e-05,1.349758008e-06
150,2.940038436e-05,1.338778657e-05,1.360214696e-06
200,4.942367013e-05,8.748419532e-06,1.394609171e-06
300,9.488472314e-05,5.022263394e-06,1.498503138e-06
400,1.543988057e-04,3.731664265e-06,1.538856623e-06
500,2.144029994e-04,3.042867093e-06,1.589232852e-06
600,3.094853118e-04,2.846894404e-06,1.734611146e-06
700,3.657229692e-04,2.576168299e-06,1.704009037e-06
800,4.243833179e-04,2.613781817e-06,1.891059355e-06
900,5.786006043e-04,2.593614681e-06,1.908178319e-06
1000,5.673643254e-04,2.385234438e-06,1.921566536e-06
